,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_C_1_denoised1_swissprot.domtblout,0.8515875407500754,0.4123152709359606,0.9871576464421439,0.8357629063097515,0.9114602763759476,0.5812308867413649,0.5816763831512297
hmmsearch_out_C_1_swissprot.domtblout,0.8490806687882002,0.3894914560523892,0.9976412003669244,0.8332378383666168,0.9154395193667706,0.5686558947969375,0.5602531552415646
hmmsearch_out_C_3_denoised1_uniref90.domtblout,0.8649325206791467,0.4050863826590836,0.9893854016511597,0.8522801454816749,0.9208327735664172,0.58299478297093,0.5748220335756976
hmmsearch_out_C_3_uniref90.domtblout,0.8608850333836932,0.4000949717722788,0.9937098676451317,0.847269796494056,0.9204898320695938,0.5795103425457662,0.5704935299428228
hmmsearch_out_C_4_denoised1_uniref90.domtblout,0.8611596554737236,0.45987712964722277,0.9515135630978901,0.8489469862018881,0.9002302746498891,0.6016489677912317,0.6200683176771989
hmmsearch_out_C_4_uniref90.domtblout,0.8576390874263823,0.4314487632508834,0.9600314506617743,0.8451022864019254,0.9025668685318499,0.5854387579095702,0.5953435455690544
HMM_reference_search.domtblout,0.7492804886086517,0.14322716267197208,1.0,0.7383123993189519,0.8691561996594759,0.325186700404536,0.25056640945657527
hmmsearch_out_M_1.domtblout,0.8475983741495607,0.41999321497229447,0.9733979819158695,0.8318636289132929,0.9026308054145812,0.5787886705528661,0.586799383813248
hmmsearch_out_M_4_denoised1_uniref90.domtblout,0.8627078083646333,0.46645429723052917,0.9402437426287511,0.8520408163265306,0.8961422794776408,0.6016587026458042,0.6235605961847651
hmmsearch_out_M_4_uniref90.domtblout,0.8593182939929739,0.4374772368580794,0.9444371641986633,0.8487143906619867,0.896575777430325,0.5835832010014795,0.5979672267164489
hmmsearch_out_O_1.domtblout,0.847928462543554,0.4028737523308106,0.9626523391429694,0.834631916283167,0.8986421277130683,0.563108620246424,0.56802629035376
hmmsearch_out_O_4_denoised1_uniref90.domtblout,0.8612528176533396,0.44712157439764577,0.9557069846678024,0.8491998461564187,0.9024534154121105,0.5954572656676982,0.6092222871940522
hmmsearch_out_O_4_uniref90.domtblout,0.8584159407229398,0.43301223331954375,0.9601624950858341,0.8459488101737371,0.9030556526297856,0.5868826771210867,0.5968556533072662
out_psiblast_C_1_denoised1_swissprot_1iterations.xml,0.6427169371295307,0.28790090338869384,0.9563622067881011,0.5881024096385542,0.7722323082133277,0.3870488780102969,0.4425712553062462
out_psiblast_C_1_denoised1_swissprot_2iterations.xml,0.41514740852489196,0.062055835480641405,0.9909579347398768,0.391764317719808,0.6913611262298425,0.15294368456552712,0.1167975658164014
out_psiblast_C_1_denoised1_swissprot_3iterations.xml,0.3394617808497662,0.04626378063553049,0.9909579347398768,0.3177025660777045,0.6543302504087907,0.11826529859988258,0.08840050267410936
out_psiblast_C_1_swissprot_1iterations.xml,0.5976799761027581,0.31657708019780695,0.9647490499279255,0.5116007498232998,0.7381748998756127,0.37845331578458175,0.476720844395519
out_psiblast_C_1_swissprot_2iterations.xml,0.36440077267291804,0.0610001758621241,1.0,0.3370263345035049,0.6685131672517525,0.14338293369463767,0.11498617483745074
out_psiblast_C_1_swissprot_3iterations.xml,0.27995182224454396,0.046969249329098656,1.0,0.25345939847448967,0.6267296992372449,0.10910910906863674,0.08972421942515829
out_psiblast_C_3_denoised1_uniref90_1iterations.xml,0.8359947857259247,0.48598441973500234,0.9564932512121609,0.8138188833956349,0.8851560673038978,0.6056854139360853,0.6445033112582782
out_psiblast_C_4_denoised1_uniref90_1iterations.xml,0.8104977178874158,0.4652751180901315,0.9551828069715633,0.7817295917037963,0.8684561993376798,0.5784128621556751,0.6257458041807958
out_psiblast_C_4_uniref90_1iterations.xml,0.8031086917401475,0.464466683557132,0.9609487616301926,0.7704005431093007,0.8656746523697467,0.5762682609200805,0.6262436483197403
out_psiblast_M_1.xml,0.6734361585600521,0.4086807047700902,0.9969859782466256,0.5790117791035643,0.7879988786750949,0.48427829508514536,0.5797233969596526
out_psiblast_M_3_uniref90_1iterations.xml,0.8222160422708673,0.6392025405786874,0.9495478967369938,0.7668187001140251,0.8581832984255094,0.6617917487486853,0.7640639004586914
out_psiblast_M_3_uniref90_2iterations.xml,0.49293077902293453,0.07012440963022694,0.9572795177565194,0.47367763318753564,0.7154785754720275,0.16915988285830816,0.1306762788118387
out_psiblast_M_4_denoised1_uniref90_1iterations.xml,0.839784023817934,0.7220450468407414,0.949416852312934,0.7711308058427704,0.8602738290778522,0.7013114824477802,0.8202660628361166
out_psiblast_M_4_uniref90_1iterations.xml,0.8283276450511945,0.6963876146788991,0.9549207181234438,0.753319357092942,0.8541200376081929,0.6848048749474559,0.8054158607350097
out_psiblast_O_1.xml,0.6072524137040266,0.3822122881796445,0.9635696501113877,0.4907447082012169,0.7271571791563023,0.4035817596536014,0.5473221928616622
out_psiblast_O_3_uniref90_1iterations.xml,0.831326163165049,0.519739634922881,0.9626523391429694,0.8021106641012186,0.8823815016220939,0.6242092324059193,0.6750287158281645
out_psiblast_O_3_uniref90_2iterations.xml,0.5380058365226151,0.0803359543312081,0.9626523391429694,0.5194900921079697,0.7410712156254695,0.1929422459734738,0.14829618863049096
out_psiblast_O_4_denoised1_uniref90_1iterations.xml,0.8062743707904998,0.46459698454100135,0.9570174289083999,0.7756032528996134,0.8663103409040067,0.5763719526235765,0.625524625267666
out_psiblast_O_4_uniref90_1iterations.xml,0.7995567489238375,0.44610432987186494,0.9626523391429694,0.767883954701616,0.8652681469222927,0.5648538681345134,0.6096771516308407
