,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,D0V3Y4,4.4548e-172,4,349,484.932,349
1,Q9HWH9,1.22217e-161,4,351,458.738,351
2,B2TEK6,2.72277e-157,9,356,448.338,366
3,P47177,1.87726e-149,26,400,429.848,404
4,Q12723,7.12494e-146,7,374,419.833,374
5,Q49W60,5.99012e-113,1,350,335.475,355
6,Q99VF6,6.09355e-112,6,350,332.778,355
7,A5IR97,6.09355e-112,6,350,332.778,355
8,A6U025,6.09355e-112,6,350,332.778,355
9,Q6GIG7,8.08785e-112,6,350,332.393,355
10,Q6GB05,9.94694e-112,6,350,332.393,355
11,Q8NXG7,1.29179e-111,6,350,332.008,355
12,A8Z1H7,2.57981e-110,6,350,328.541,355
13,A6QFD2,2.57981e-110,6,350,328.541,355
14,Q5HHG4,2.57981e-110,6,350,328.541,355
15,Q2FZX9,2.57981e-110,6,350,328.541,355
16,Q2FIF3,2.57981e-110,6,350,328.541,355
17,Q4L4T4,9.63327e-110,7,350,327.385,357
18,O05413,3.51971e-104,1,343,312.748,347
19,O06179,6.78466e-28,23,345,115.14,375
20,Q9I4V0,6.16729e-27,7,315,111.674,328
21,Q01284,1.6063e-18,33,367,88.9468,378
22,Q6A6A0,1.50038e-07,111,229,55.0493,229
23,Q7NTY1,4.05405e-07,149,258,54.6641,316
24,Q8R7I7,5.12105e-07,66,211,53.5085,237
25,Q58070,8.00298e-07,159,268,53.5085,306
26,A9BJH4,2.35518e-06,227,276,51.9677,300
27,C3K017,2.71808e-06,230,321,51.9677,341
28,Q8T6T2,3.13044e-06,34,284,51.9677,400
29,Q8KCW4,3.83991e-06,331,373,51.9677,494
30,Q3KFC7,4.71763e-06,230,321,51.5825,339
31,B5EFU4,5.59834e-06,232,272,50.8121,305
32,Q39UK4,9.46163e-06,232,272,50.4269,305
33,Q4KFI7,9.85857e-06,226,321,50.4269,339
34,Q4QJK8,1.12856e-05,238,333,50.4269,381
35,P46454,1.1489e-05,238,333,50.4269,381
36,A5UBE3,1.24506e-05,238,333,50.4269,381
37,Q9ZL14,1.299e-05,32,365,50.4269,481
38,A5UFG9,1.30192e-05,238,333,50.0417,381
39,Q48JY0,1.6492e-05,230,321,49.6565,343
40,C6E6N2,2.09566e-05,232,272,49.2713,305
41,Q4ZUM3,2.42503e-05,230,321,49.2713,343
42,O50316,2.74983e-05,331,373,49.2713,494
43,Q8FWN5,3.06903e-05,122,241,49.2713,525
44,B0BTC7,3.2352e-05,257,333,48.8861,381
45,Q8YBP2,3.33142e-05,115,234,49.2713,518
46,B3GZA5,3.44359e-05,257,333,48.8861,381
47,A3N3E5,3.44359e-05,257,333,48.8861,381
48,Q6DAY3,3.63701e-05,257,333,48.8861,386
49,A5G3H0,3.94157e-05,232,272,48.5009,305
50,Q8A9C3,3.94636e-05,230,270,48.5009,303
51,Q64TN0,4.24174e-05,230,270,48.1157,303
52,Q5LCI2,4.24174e-05,230,270,48.1157,303
53,Q883P1,5.0102e-05,230,321,48.1157,343
54,Q88L40,5.01385e-05,230,321,48.1157,340
55,A6TVS0,5.69021e-05,229,271,47.7305,302
56,Q5P1A9,6.85495e-05,222,314,47.7305,350
57,P56088,8.19929e-05,32,365,47.7305,481
58,Q13ZM3,8.50329e-05,245,325,47.3453,340
59,A6VW35,9.53123e-05,230,342,47.3453,346
60,B0KG90,0.00010016,230,321,47.3453,341
61,P24547,0.000100189,296,407,47.7305,514
62,P12269,0.000103792,297,407,47.7305,514
63,E9PU28,0.000104712,297,407,47.7305,514
64,P12268,0.000104712,297,407,47.7305,514
65,Q480K7,0.000107105,231,322,47.3453,336
66,A4WDW4,0.000116894,65,229,46.5749,235
67,Q1ICL4,0.000120539,230,321,46.9601,340
68,Q12658,0.000121104,357,411,47.3453,529
69,B2JKL9,0.000122892,265,325,46.9601,344
70,Q07152,0.000122981,310,426,47.3453,537
71,Q4VRV8,0.000134601,343,423,47.3453,551
72,B3E4T4,0.000142424,231,268,46.5749,304
73,C1DDY1,0.00014938,230,321,46.9601,347
74,Q3SWY3,0.000153064,287,407,46.9601,514
75,O87392,0.00017839,243,326,46.9601,442
76,Q58746,0.000181964,262,415,46.9601,510
77,B1XV77,0.000192119,236,322,46.5749,344
78,O26154,0.00019622,233,309,46.5749,349
79,B4SMK1,0.000224588,238,333,46.1897,379
80,B2FIJ0,0.000280506,238,333,46.1897,379
81,B0UXP9,0.00028385,350,407,46.1897,514
