,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,P47177,1.61151e-156,27,399,449.253,404
1,Q12723,3.20932e-147,8,374,424.6,374
2,D0V3Y4,6.13658e-140,5,333,405.34,349
3,Q9HWH9,8.92411e-133,5,349,387.236,351
4,B2TEK6,1.57939e-125,10,354,369.132,366
5,Q49W60,4.53693e-92,10,348,283.617,355
6,Q8NXG7,4.99072e-90,7,348,278.225,355
7,Q6GIG7,8.57576e-90,7,348,277.454,355
8,Q6GB05,1.26631e-89,7,348,277.069,355
9,Q99VF6,4.35017e-89,7,348,275.913,355
10,A5IR97,4.35017e-89,7,348,275.913,355
11,A6U025,4.35017e-89,7,348,275.913,355
12,A8Z1H7,4.6926e-89,7,348,275.913,355
13,A6QFD2,4.6926e-89,7,348,275.913,355
14,Q5HHG4,4.6926e-89,7,348,275.913,355
15,Q2FZX9,4.6926e-89,7,348,275.913,355
16,Q2FIF3,4.6926e-89,7,348,275.913,355
17,Q4L4T4,2.06539e-87,7,349,271.676,357
18,O05413,5.61251e-87,4,343,270.135,347
19,O06179,1.07026e-20,23,361,95.6399,375
20,Q9I4V0,1.53324e-18,8,237,89.0915,328
21,Q01284,8.22712e-16,152,365,81.3876,378
22,O87392,8.374e-07,243,326,54.4236,442
23,Q6A6A0,1.22586e-05,111,229,49.416,229
24,Q48JY0,2.30186e-05,230,321,49.416,343
25,A1WTJ3,2.44295e-05,232,317,49.416,342
26,Q3KFC7,2.94629e-05,230,321,49.0308,339
27,C3K017,3.21215e-05,230,321,49.0308,341
28,Q4ZUM3,3.59639e-05,230,321,49.0308,343
29,Q58070,4.74093e-05,159,268,48.2604,306
30,Q883P1,5.469e-05,230,321,48.2604,343
31,Q4KFI7,7.453e-05,226,321,47.8752,339
32,Q8KCW4,7.62133e-05,321,373,48.2604,494
33,Q8FWN5,0.000113576,122,240,47.8752,525
34,Q8YBP2,0.000117922,115,233,47.8752,518
35,A5UFG9,0.000121977,238,360,47.49,381
36,B0BTC7,0.000180109,257,360,46.7196,381
37,B3GZA5,0.000183327,257,360,46.7196,381
38,A3N3E5,0.000183327,257,360,46.7196,381
39,Q4QJK8,0.000249919,238,333,46.3344,381
40,P46454,0.000252141,238,333,46.3344,381
41,A5UBE3,0.000261228,238,333,46.3344,381
42,A9BJH4,0.00026195,231,293,45.9492,300
43,Q480K7,0.000330185,231,322,45.9492,336
44,Q6DAY3,0.000432746,257,333,45.564,386
45,O35435,0.000463595,268,389,45.564,395
46,Q88L40,0.000549106,230,321,45.1788,340
47,Q63707,0.000593642,268,389,45.1788,395
48,O50316,0.000740704,321,373,45.1788,494
49,Q4VRV8,0.000749712,347,423,45.1788,551
50,B0KG90,0.000850827,230,321,44.7936,341
51,B1XV77,0.00100551,236,322,44.4084,344
52,C1DDY1,0.00105849,230,321,44.4084,347
53,Q1ICL4,0.00133503,230,321,44.0232,340
54,Q8KFR5,0.00158377,197,304,44.0232,357
55,Q12658,0.00189727,369,411,44.0232,529
56,B0T7X2,0.00190583,230,333,43.638,380
57,Q5P1A9,0.0020176,275,314,43.638,350
58,B5EFU4,0.00203248,234,272,43.2528,305
59,C6E6N2,0.00212527,234,272,43.2528,305
60,B2UNA2,0.00219503,236,326,43.2528,348
61,B1J5B5,0.00221921,230,321,43.2528,341
62,Q9HZF8,0.00247408,237,321,43.2528,342
63,B7UWL8,0.00247408,237,321,43.2528,342
64,B2JKL9,0.0024852,234,325,43.2528,344
65,A6V325,0.00249611,237,321,43.2528,342
66,Q02PL5,0.00265597,237,321,43.2528,342
67,A1K7M2,0.00292742,275,314,42.8676,338
68,Q39UK4,0.00335039,234,272,42.4824,305
69,A9AJX4,0.00367849,234,325,42.8676,345
70,Q13ZM3,0.00401101,245,325,42.4824,340
71,B1L993,0.00467257,325,410,42.4824,507
72,Q9WYM8,0.00467257,325,410,42.4824,507
73,Q5KP44,0.00514979,376,418,42.4824,544
74,Q7NTY1,0.00525465,149,258,42.0972,316
75,P12269,0.00531045,361,407,42.4824,514
76,P12268,0.00540414,361,407,42.4824,514
77,E9PU28,0.00549948,361,407,42.4824,514
78,Q2KW44,0.00557444,239,327,42.0972,349
79,P24547,0.0055965,361,407,42.4824,514
80,Q3SWY3,0.00569523,361,407,42.4824,514
81,A6VW35,0.00643997,230,342,42.0972,346
82,Q7VTR9,0.00720519,239,327,41.712,349
83,Q7W4W6,0.00733381,239,327,41.712,349
84,Q7WGE4,0.00739898,239,327,41.712,349
85,B0UXP9,0.00866454,361,407,41.712,514
86,A8LY18,0.00886581,219,321,41.3268,338
87,Q9HL35,0.00912344,221,263,41.3268,300
