,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,Q6GIG7,355,357,1.1e-175,588.9,1,1,1.2e-175,588.7,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
1,Q6GB05,355,357,1.1e-175,588.8,1,1,1.2e-175,588.7,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
2,Q8NXG7,355,357,1.3e-175,588.6,1,1,1.5e-175,588.4,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
3,A5IR97,355,357,2.7e-175,587.5,1,1,3.1e-175,587.3,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
4,A6U025,355,357,2.7e-175,587.5,1,1,3.1e-175,587.3,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
5,Q99VF6,355,357,2.7e-175,587.5,1,1,3.1e-175,587.3,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
6,A6QFD2,355,357,2.6e-174,584.3,1,1,2.9e-174,584.1,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
7,A8Z1H7,355,357,2.6e-174,584.3,1,1,2.9e-174,584.1,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
8,Q2FIF3,355,357,2.6e-174,584.3,1,1,2.9e-174,584.1,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
9,Q2FZX9,355,357,2.6e-174,584.3,1,1,2.9e-174,584.1,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
10,Q5HHG4,355,357,2.6e-174,584.3,1,1,2.9e-174,584.1,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain COL) OX=93062 GN=SACOL0922 PE=3 SV=1
11,Q4L4T4,357,357,6.1e-163,546.9,1,1,6.9e-163,546.7,1,352,0.99,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
12,Q49W60,355,357,1.2e-160,539.3,1,1,1.3e-160,539.2,2,354,0.99,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
13,D0V3Y4,349,357,2.6e-146,492.1,1,1,2.9e-146,492.0,1,348,0.99,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
14,B2TEK6,366,357,5.9e-143,481.1,1,1,6.8e-143,480.9,6,359,0.99,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
15,O05413,347,357,4.8e-141,474.8,1,1,5.3e-141,474.7,2,346,0.99,Probable nitronate monooxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=yrpB PE=3 SV=1
16,Q9HWH9,351,357,2.5e-140,472.5,1,1,2.8e-140,472.3,1,350,0.99,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
17,Q12723,374,357,1e-123,417.8,1,1,1.2e-123,417.6,3,374,0.98,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
18,P47177,404,357,4.7e-122,412.4,1,1,5.3e-122,412.2,22,401,0.98,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
19,O06179,375,357,2.3e-105,357.5,1,1,2.6e-105,357.3,1,367,0.98,Putative monooxygenase Rv1533 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1533 PE=1 SV=1
20,Q9I4V0,328,357,1.4e-45,160.8,1,2,1e-13,56.0,5,80,0.89,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
21,Q9I4V0,328,357,1.4e-45,160.8,2,2,3.4e-28,103.6,91,318,0.88,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
