,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,D0V3Y4,0.0,5,335,519.842,349
1,Q9HWH9,6.04506e-172,5,348,484.789,351
2,B2TEK6,2.67592e-171,10,353,483.634,366
3,Q12723,1.05716e-137,8,373,398.504,374
4,P47177,8.41877e-137,27,384,397.349,404
5,Q49W60,1.32351e-120,10,347,354.592,355
6,Q6GB05,5.06012e-120,7,346,353.051,355
7,Q6GIG7,5.70487e-120,7,346,353.051,355
8,Q8NXG7,8.0866e-120,7,346,352.666,355
9,Q99VF6,1.41008e-119,7,346,351.895,355
10,A5IR97,1.41008e-119,7,346,351.895,355
11,A6U025,1.41008e-119,7,346,351.895,355
12,A8Z1H7,6.85115e-119,7,346,350.354,355
13,A6QFD2,6.85115e-119,7,346,350.354,355
14,Q5HHG4,6.85115e-119,7,346,350.354,355
15,Q2FZX9,6.85115e-119,7,346,350.354,355
16,Q2FIF3,6.85115e-119,7,346,350.354,355
17,Q4L4T4,1.47402e-115,7,347,341.88,357
18,O05413,8.177e-114,4,343,336.873,347
19,O06179,2.52037e-29,26,345,118.85,375
20,Q9I4V0,7.7425e-27,8,311,111.146,328
21,Q01284,1.16069e-17,33,365,86.4928,378
22,Q7NTY1,6.23128e-09,149,258,59.914,316
23,Q58070,3.61491e-07,159,268,54.5212,306
24,B5EFU4,8.93819e-07,232,272,53.3656,305
25,A9BJH4,1.13573e-06,227,276,52.9804,300
26,C3K017,2.08724e-06,230,321,52.5952,341
27,Q3KFC7,2.24884e-06,230,321,52.21,339
28,Q39UK4,2.63441e-06,232,272,51.8248,305
29,Q6A6A0,3.04986e-06,111,229,51.0544,229
30,Q48JY0,3.32529e-06,230,321,51.8248,343
31,Q8R7I7,3.90851e-06,110,211,51.0544,237
32,Q4KFI7,3.93138e-06,226,321,51.4396,339
33,C6E6N2,3.99823e-06,232,272,51.4396,305
34,Q4ZUM3,4.0171e-06,230,321,51.4396,343
35,Q8KCW4,4.98988e-06,331,373,51.8248,494
36,Q8A9C3,8.18299e-06,230,270,50.284,303
37,Q64TN0,8.18299e-06,230,270,50.284,303
38,Q5LCI2,8.18299e-06,230,270,50.284,303
39,A5G3H0,8.95347e-06,232,272,50.284,305
40,Q883P1,1.02335e-05,230,321,50.284,343
41,Q5P1A9,1.28327e-05,222,314,49.8988,350
42,Q88L40,1.36438e-05,230,321,49.8988,340
43,B0KG90,1.74392e-05,230,321,49.5136,341
44,Q4QJK8,2.1621e-05,256,333,49.5136,381
45,P46454,2.18149e-05,256,333,49.5136,381
46,A5UFG9,2.34307e-05,256,333,49.5136,381
47,A5UBE3,2.38529e-05,256,333,49.1284,381
48,A6TVS0,2.6901e-05,229,271,48.7432,302
49,C1DDY1,4.08296e-05,230,321,48.358,347
50,O50316,4.19772e-05,331,373,48.7432,494
51,B0BTC7,5.00351e-05,256,333,48.358,381
52,Q13ZM3,5.05777e-05,245,325,48.358,340
53,Q9SA34,5.09659e-05,340,394,48.358,502
54,Q1ICL4,5.24241e-05,230,321,47.9728,340
55,B3GZA5,5.2786e-05,256,333,48.358,381
