,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,B2TEK6,366,343,1.5e-136,460.0,1,1,1.7e-136,459.8,13,353,0.99,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
1,D0V3Y4,349,343,2.4e-136,459.3,1,1,2.7e-136,459.1,7,346,0.98,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
2,Q9HWH9,351,343,2.6e-127,429.5,1,1,3e-127,429.3,8,348,0.99,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
3,Q12723,374,343,2.5e-114,386.9,1,1,2.8e-114,386.7,9,372,0.96,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
4,P47177,404,343,4.5e-114,386.0,1,1,5.2e-114,385.8,29,395,0.93,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
5,Q49W60,355,343,1.9e-95,324.8,1,1,2.1e-95,324.6,10,347,0.92,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
6,Q4L4T4,357,343,9.4e-94,319.2,1,1,1.1e-93,319.0,9,347,0.92,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
7,Q6GIG7,355,343,1.6e-93,318.4,1,1,1.9e-93,318.2,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
8,Q8NXG7,355,343,2e-93,318.1,1,1,2.3e-93,317.9,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
9,A5IR97,355,343,2.2e-93,318.0,1,1,2.6e-93,317.8,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
10,A6U025,355,343,2.2e-93,318.0,1,1,2.6e-93,317.8,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
11,Q99VF6,355,343,2.2e-93,318.0,1,1,2.6e-93,317.8,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
12,Q6GB05,355,343,2.4e-93,317.9,1,1,2.8e-93,317.7,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
13,A6QFD2,355,343,1e-92,315.8,1,1,1.2e-92,315.6,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
14,A8Z1H7,355,343,1e-92,315.8,1,1,1.2e-92,315.6,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
15,Q2FIF3,355,343,1e-92,315.8,1,1,1.2e-92,315.6,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
16,Q2FZX9,355,343,1e-92,315.8,1,1,1.2e-92,315.6,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
17,Q5HHG4,355,343,1e-92,315.8,1,1,1.2e-92,315.6,9,346,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain COL) OX=93062 GN=SACOL0922 PE=3 SV=1
18,O05413,347,343,1.3e-89,305.6,1,1,1.4e-89,305.4,5,343,0.96,Probable nitronate monooxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=yrpB PE=3 SV=1
19,O06179,375,343,3e-33,120.2,1,1,1.3e-32,118.1,23,361,0.79,Putative monooxygenase Rv1533 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1533 PE=1 SV=1
20,Q9I4V0,328,343,6.8e-32,115.8,1,2,7.2e-08,36.8,10,75,0.91,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
