,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,O05413,347,331,5.4e-134,451.7,1,1,6.1e-134,451.5,3,343,0.99,Probable nitronate monooxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=yrpB PE=3 SV=1
1,Q4L4T4,357,331,1.2e-93,319.0,1,1,1.4e-93,318.8,6,347,0.94,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
2,Q6GB05,355,331,7.6e-91,309.8,1,1,9.1e-91,309.6,5,345,0.94,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
3,Q49W60,355,331,3e-90,307.9,1,1,3.4e-90,307.7,5,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
4,Q6GIG7,355,331,3.4e-90,307.7,1,1,4.1e-90,307.4,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
5,Q8NXG7,355,331,6.2e-90,306.8,1,1,7.5e-90,306.6,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
6,A5IR97,355,331,7.8e-90,306.5,1,1,9.3e-90,306.3,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
7,A6U025,355,331,7.8e-90,306.5,1,1,9.3e-90,306.3,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
8,Q99VF6,355,331,7.8e-90,306.5,1,1,9.3e-90,306.3,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
9,A6QFD2,355,331,8.8e-90,306.4,1,1,1.1e-89,306.1,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
10,A8Z1H7,355,331,8.8e-90,306.4,1,1,1.1e-89,306.1,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
11,Q2FIF3,355,331,8.8e-90,306.4,1,1,1.1e-89,306.1,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
12,Q2FZX9,355,331,8.8e-90,306.4,1,1,1.1e-89,306.1,5,345,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
