,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,D0V3Y4,349,357,2.9e-140,472.2,1,1,3.2e-140,472.1,2,348,0.98,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
1,B2TEK6,366,357,7.5e-140,470.8,1,1,8.8e-140,470.6,7,356,0.98,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
2,Q9HWH9,351,357,3.3e-130,439.1,1,1,3.7e-130,439.0,3,350,0.98,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
3,Q12723,374,357,1.1e-115,391.4,1,1,1.2e-115,391.2,4,374,0.94,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
4,P47177,404,357,2e-115,390.5,1,1,2.5e-115,390.2,23,399,0.92,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
5,Q49W60,355,357,7.2e-96,326.2,1,1,8.1e-96,326.0,4,350,0.91,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
6,A5IR97,355,357,8.7e-96,325.9,1,1,9.9e-96,325.7,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
7,A6U025,355,357,8.7e-96,325.9,1,1,9.9e-96,325.7,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
8,Q99VF6,355,357,8.7e-96,325.9,1,1,9.9e-96,325.7,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
9,Q6GIG7,355,357,8.9e-96,325.9,1,1,1e-95,325.7,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
10,Q6GB05,355,357,1.3e-95,325.3,1,1,1.5e-95,325.1,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
11,Q4L4T4,357,357,2.1e-95,324.6,1,1,2.5e-95,324.4,3,350,0.90,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
12,Q8NXG7,355,357,3.4e-95,324.0,1,1,3.8e-95,323.8,1,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
13,A6QFD2,355,357,6.5e-95,323.0,1,1,7.3e-95,322.8,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
14,A8Z1H7,355,357,6.5e-95,323.0,1,1,7.3e-95,322.8,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
15,Q2FIF3,355,357,6.5e-95,323.0,1,1,7.3e-95,322.8,1,350,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
