,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,D0V3Y4,349,355,8.4e-140,470.7,1,1,9.3e-140,470.6,1,348,0.98,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
1,B2TEK6,366,355,1.1e-139,470.3,1,1,1.3e-139,470.1,8,357,0.99,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
2,Q9HWH9,351,355,4.5e-130,438.7,1,1,5e-130,438.5,3,350,0.99,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
3,Q12723,374,355,1e-116,394.8,1,1,1.1e-116,394.6,6,373,0.96,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
4,P47177,404,355,1.5e-116,394.2,1,1,1.9e-116,393.9,23,399,0.93,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
5,Q49W60,355,355,4e-97,330.3,1,1,4.5e-97,330.2,6,351,0.92,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
6,Q4L4T4,357,355,2.4e-96,327.8,1,1,2.7e-96,327.6,5,351,0.92,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
7,Q6GIG7,355,355,3.9e-96,327.1,1,1,4.5e-96,326.9,4,351,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
8,Q8NXG7,355,355,4.7e-96,326.8,1,1,5.4e-96,326.6,4,351,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
9,A5IR97,355,355,5.2e-96,326.7,1,1,6e-96,326.5,4,351,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
