,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,D0V3Y4,1.62405e-173,5,335,488.372,349
1,Q9HWH9,1.03219e-163,5,348,463.719,351
2,B2TEK6,1.09517e-157,10,353,449.081,366
3,P47177,3.18703e-151,27,397,434.059,404
4,Q12723,3.46203e-146,8,373,420.191,374
5,Q49W60,1.74535e-116,10,348,343.922,355
6,Q99VF6,9.11584e-115,7,347,339.685,355
7,A5IR97,9.11584e-115,7,347,339.685,355
8,A6U025,9.11584e-115,7,347,339.685,355
9,Q6GIG7,9.94609e-115,7,347,339.685,355
10,Q6GB05,1.42497e-114,7,347,339.3,355
11,Q8NXG7,1.48845e-114,7,347,339.3,355
12,A8Z1H7,5.42109e-113,7,347,335.062,355
13,A6QFD2,5.42109e-113,7,347,335.062,355
14,Q5HHG4,5.42109e-113,7,347,335.062,355
15,Q2FZX9,5.42109e-113,7,347,335.062,355
16,Q2FIF3,5.42109e-113,7,347,335.062,355
17,Q4L4T4,4.22998e-111,7,348,330.44,357
18,O05413,2.35734e-104,4,343,312.721,347
19,O06179,9.28476e-28,26,345,114.728,375
20,Q9I4V0,8.08163e-27,8,312,111.261,328
21,Q01284,2.38946e-18,33,365,88.5346,378
22,Q7NTY1,1.47812e-07,128,257,55.7926,316
23,Q6A6A0,3.43831e-07,111,229,53.8666,229
24,Q3KFC7,8.91355e-07,230,321,53.4814,339
25,Q8R7I7,1.39345e-06,110,211,52.3258,237
26,Q4KFI7,1.81815e-06,226,321,52.711,339
27,A9BJH4,1.93413e-06,227,276,52.3258,300
28,Q48JY0,2.28657e-06,230,321,52.3258,343
29,Q58070,2.32031e-06,159,268,51.9406,306
30,C3K017,3.004e-06,230,321,51.9406,341
31,B5EFU4,3.03257e-06,232,272,51.9406,305
32,Q4ZUM3,3.49124e-06,230,321,51.9406,343
33,Q8KCW4,4.6983e-06,331,373,51.5554,494
34,Q39UK4,6.26203e-06,232,272,50.785,305
35,Q883P1,7.77402e-06,230,321,50.785,343
36,C6E6N2,1.05862e-05,232,272,50.0146,305
37,Q185B2,1.73141e-05,110,205,48.859,223
38,Q4QJK8,2.13042e-05,238,333,49.6294,381
39,P46454,2.14953e-05,238,333,49.6294,381
40,Q9ZL14,2.23026e-05,33,365,49.6294,481
41,A5UFG9,2.35036e-05,238,333,49.2442,381
42,A5UBE3,2.35036e-05,238,333,49.2442,381
43,A5G3H0,2.61423e-05,232,272,48.859,305
44,Q480K7,2.6309e-05,231,322,48.859,336
45,C1DDY1,2.94143e-05,230,321,48.859,347
46,Q8A9C3,3.02423e-05,230,270,48.859,303
47,Q64TN0,3.05167e-05,230,270,48.859,303
48,Q5LCI2,3.05167e-05,230,270,48.859,303
49,O87392,3.31254e-05,243,326,48.859,442
50,O50316,3.37095e-05,331,373,49.2442,494
51,Q1ICL4,3.6762e-05,230,321,48.4738,340
52,Q8FWN5,3.6945e-05,122,241,48.859,525
53,Q8YBP2,3.94074e-05,115,234,48.859,518
54,Q2SS69,4.74758e-05,125,210,47.3182,226
55,B0BTC7,4.93046e-05,257,360,48.4738,381
56,B3GZA5,5.10957e-05,257,360,48.4738,381
57,A3N3E5,5.10957e-05,257,360,48.4738,381
58,Q88L40,5.50337e-05,230,321,48.0886,340
59,Q6DAY3,5.64096e-05,257,333,48.0886,386
60,Q0SWI9,5.78707e-05,110,201,47.3182,221
61,Q8XNZ3,5.78707e-05,110,201,47.3182,221
62,Q0TUP9,5.78707e-05,110,201,47.3182,221
63,Q13ZM3,6.23908e-05,245,325,47.7034,340
64,B1XV77,6.8968e-05,236,322,47.7034,344
65,Q5P1A9,7.32332e-05,222,314,47.7034,350
66,A6TVS0,7.36319e-05,229,271,47.3182,302
67,B0KG90,8.55964e-05,230,321,47.3182,341
68,A6V325,8.97516e-05,237,321,47.3182,342
69,Q9HZF8,9.05588e-05,237,321,47.3182,342
70,B7UWL8,9.05588e-05,237,321,47.3182,342
71,Q02PL5,9.30241e-05,237,321,47.3182,342
72,B3E4T4,0.000110298,231,268,46.933,304
73,O26154,0.000118412,233,309,46.933,349
74,B2JKL9,0.000133747,265,325,46.933,344
75,Q4VRV8,0.000137157,340,423,47.3182,551
76,P56088,0.000142128,33,365,46.933,481
77,B2UNA2,0.000145092,266,326,46.933,348
78,B9M211,0.000181643,232,272,46.1626,305
79,P12269,0.000186204,297,407,46.933,514
80,E9PU28,0.000189523,297,407,46.933,514
81,P24547,0.000189523,296,407,46.933,514
82,P12268,0.000189523,297,407,46.933,514
83,Q12658,0.000191929,357,434,46.933,529
84,Q01YA2,0.000205317,229,268,46.1626,304
85,B5YJH1,0.000214017,230,270,46.1626,303
86,Q8CWG1,0.000252529,229,266,45.7774,304
87,A6VW35,0.000258125,230,342,46.1626,346
88,A6L5H1,0.000260878,230,270,45.7774,303
89,A5FJK8,0.000276844,191,234,45.3923,243
90,Q3SWY3,0.000282005,350,407,46.1626,514
91,Q07152,0.000295024,310,426,46.1626,537
92,A1WTJ3,0.000343319,290,317,45.7774,342
93,Q6M174,0.000350595,244,319,45.7774,355
94,B0T7X2,0.000352438,238,333,45.7774,380
95,B1J5B5,0.000354947,230,321,45.3923,341
96,A4VM41,0.000363097,231,321,45.3923,343
97,B4SMK1,0.000374401,238,333,45.7774,379
98,P54322,0.00040866,230,272,45.3923,311
99,Q6A912,0.000414491,230,278,45.3923,307
100,A9AJX4,0.000417116,234,325,45.3923,345
101,B0UXP9,0.000426993,350,407,45.7774,514
102,A2SQR0,0.000445879,181,220,44.6219,236
103,A0B7W4,0.000455092,185,224,44.6219,242
104,A1ASB3,0.000509208,231,276,45.0071,304
105,B2FIJ0,0.000515693,238,333,45.0071,379
106,A4X5V3,0.000555701,137,261,45.0071,306
107,A1K7M2,0.000607667,222,314,45.0071,338
108,F7CYY5,0.000608173,351,408,45.0071,515
109,A9IN89,0.000654352,257,333,45.0071,383
110,B2A2Z7,0.000658428,177,236,44.6219,295
111,Q9SA34,0.000723934,300,394,45.0071,502
112,Q8RBJ3,0.000745567,123,233,44.2367,292
113,Q5KP44,0.000775123,364,450,45.0071,544
114,O35435,0.000840684,268,389,44.6219,395
115,B0K4N7,0.000908849,191,233,44.2367,292
116,B0KAS1,0.000908849,191,233,44.2367,292
117,Q8PE75,0.000929935,257,333,44.2367,386
118,Q4V0H2,0.000929935,257,333,44.2367,386
119,Q2SVL9,0.000931159,265,325,44.2367,345
120,Q9HLK8,0.000945532,314,367,44.6219,485
121,B9DPN4,0.000957841,227,266,44.2367,305
122,A4J560,0.000972119,231,278,44.2367,304
123,Q8PR33,0.00100166,257,333,44.2367,388
124,A4WDW4,0.00101056,126,229,43.4663,235
125,Q5H6Z4,0.00101059,257,333,44.2367,388
126,B2SUY3,0.00101059,257,333,44.2367,388
127,Q2P9K0,0.00101059,257,333,44.2367,388
128,Q3BZH2,0.00101059,257,333,44.2367,388
129,B0RLM2,0.00101627,257,333,44.2367,386
130,Q6G0J2,0.00102933,257,333,44.2367,383
131,A1KRQ4,0.00108763,276,314,43.8515,335
132,Q6FFS1,0.00109717,238,333,44.2367,384
133,Q21JW9,0.00110777,230,321,43.8515,339
134,Q8RG85,0.00112223,229,268,43.8515,304
135,A9M3G1,0.0011329,276,314,43.8515,341
136,A5EV79,0.00117368,232,314,43.8515,337
137,B2G5A3,0.00117763,234,287,43.8515,308
138,A5VHS3,0.00117763,234,287,43.8515,308
139,A8HZX8,0.00121238,230,321,43.8515,356
140,Q8H3I4,0.00123618,210,309,43.8515,366
141,Q5QX65,0.00130874,230,320,43.8515,334
142,A8FD19,0.00135513,226,275,43.4663,310
143,O26762,0.00139195,192,273,43.4663,293
144,A7Z0D3,0.00144785,179,259,43.4663,294
145,Q65PL2,0.00146092,179,259,43.4663,294
146,Q8DGQ5,0.00148482,164,205,43.0811,228
147,P16250,0.00150246,53,112,43.0811,240
148,Q2KW44,0.00150634,239,327,43.4663,349
149,B1JPU0,0.00151621,257,333,43.8515,381
150,Q66C32,0.00151621,257,333,43.8515,381
151,A4TKI4,0.00151621,257,333,43.8515,381
152,Q1CGZ1,0.00151621,257,333,43.8515,381
153,A9R623,0.00151621,257,333,43.8515,381
154,Q8ZFV8,0.00151621,257,333,43.8515,381
155,B2JZQ1,0.00151621,257,333,43.8515,381
156,Q1C9P0,0.00151621,257,333,43.8515,381
157,A7FJF0,0.00151621,257,333,43.8515,381
158,Q0BFR0,0.00152038,237,325,43.4663,345
159,P47996,0.00156026,301,382,43.8515,503
160,Q9CFW8,0.00173092,230,272,43.4663,311
161,A0AMC4,0.00182639,115,228,42.6959,236
162,Q8TYD6,0.00185802,114,224,42.6959,242
163,A9WQA3,0.00187913,64,108,42.6959,244
164,Q5FJB5,0.0020284,231,285,43.0811,307
165,B1L993,0.00211204,325,410,43.4663,507
166,Q9WYM8,0.00211204,325,410,43.4663,507
167,C4XPD6,0.00213413,232,269,43.0811,306
168,P71340,0.00216264,116,209,42.6959,228
169,Q54E41,0.00228574,261,333,43.0811,388
170,B3GXB6,0.00233854,194,258,42.6959,295
171,Q63707,0.00259218,268,389,43.0811,395
172,B0BUD0,0.00262804,194,258,42.6959,295
173,A3MZT8,0.00262804,194,258,42.6959,295
174,A7HD76,0.00264034,222,318,43.0811,363
175,A3DD04,0.00288838,136,208,42.3107,255
176,Q30NR6,0.00289841,186,229,42.3107,252
177,Q3IT10,0.00296179,187,224,42.3107,239
178,A0JUZ7,0.00297213,68,121,42.3107,248
179,P37527,0.00299715,193,259,42.6959,294
180,A8FAD5,0.00299715,193,259,42.6959,294
181,A8M9N4,0.0032302,83,181,41.9255,205
182,P42851,0.00327796,313,366,42.6959,485
183,O58045,0.00330986,313,366,42.6959,486
184,Q0SSM0,0.00341518,139,212,42.3107,254
185,Q3IU78,0.00342327,228,313,42.6959,350
186,Q8F4Q4,0.00349134,351,400,42.6959,508
187,O00086,0.00349506,352,406,42.6959,521
188,Q59Q46,0.00349506,352,406,42.6959,521
189,Q8XK02,0.00350939,139,212,41.9255,254
190,P25996,0.0035103,226,275,42.3107,311
191,Q9UY49,0.00354844,313,366,42.6959,485
192,Q82AA1,0.00361412,54,113,41.9255,242
193,Q82ST3,0.00361622,220,315,42.3107,342
194,Q74J29,0.0036959,231,285,42.3107,307
195,B0V6L1,0.0037927,238,376,42.3107,383
196,A3M0X0,0.0037927,238,376,42.3107,383
197,B2I061,0.0037927,238,376,42.3107,383
198,B7IBS4,0.0037927,238,376,42.3107,383
199,B7H2H0,0.0037927,238,376,42.3107,383
200,Q0AIB4,0.00381464,229,315,42.3107,342
201,Q7VKN0,0.0039477,117,209,41.9255,229
202,Q979G6,0.00404438,224,263,42.3107,301
203,Q4ZY06,0.00405226,257,329,42.3107,380
204,Q5UZH1,0.00408053,187,226,41.9255,246
205,Q5JHR7,0.00409283,226,265,42.3107,302
206,B3GZ03,0.00413252,116,209,41.5403,229
207,A3N350,0.00413252,116,209,41.5403,229
208,B1I557,0.00432361,66,111,41.9255,262
209,A9B891,0.00439457,192,234,41.9255,293
210,Q7VPI9,0.00463583,256,333,42.3107,381
211,A9B5I3,0.00478448,35,111,41.5403,240
212,P61422,0.00480763,115,222,42.3107,490
213,C6BW12,0.00489386,228,266,41.9255,305
214,B0BSI0,0.00496227,116,209,41.5403,229
215,Q2RHX4,0.00530197,139,208,41.5403,255
216,O59185,0.00541793,229,265,41.9255,303
217,A4SME2,0.00557252,223,322,41.9255,336
218,A8HTC9,0.00562502,259,332,41.9255,380
219,Q929R9,0.00568444,194,260,41.5403,295
220,Q9HV37,0.005837,238,349,41.9255,381
221,B7V1I3,0.005837,238,349,41.9255,381
222,A6VTA6,0.00591084,58,112,41.5403,257
223,Q84XA3,0.00594374,340,381,41.9255,502
224,A4XWQ0,0.00642234,241,321,41.5403,340
225,Q02FQ1,0.0066666,238,349,41.5403,381
226,B0VND0,0.00686696,238,333,41.5403,383
227,B1I4M6,0.00735969,231,268,41.5403,307
228,A8LY18,0.00744027,219,321,41.5403,338
229,A1TZG0,0.00788056,230,321,41.5403,340
