,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,O06179,4.25689e-150,1,375,431.561,375
1,Q6GB05,9.00581e-143,3,355,412.301,355
2,Q99VF6,1.09619e-142,3,355,411.916,355
3,A5IR97,1.09619e-142,3,355,411.916,355
4,A6U025,1.09619e-142,3,355,411.916,355
5,Q8NXG7,1.42463e-142,3,355,411.916,355
6,Q6GIG7,1.83137e-142,3,355,411.531,355
7,A8Z1H7,1.13426e-141,3,355,409.605,355
8,A6QFD2,1.13426e-141,3,355,409.605,355
9,Q5HHG4,1.13426e-141,3,355,409.605,355
10,Q2FZX9,1.13426e-141,3,355,409.605,355
11,Q2FIF3,1.13426e-141,3,355,409.605,355
12,Q4L4T4,3.10849e-141,3,357,408.449,357
13,Q49W60,3.27098e-141,3,355,408.449,355
14,O05413,7.91653e-130,1,347,379.174,347
15,P47177,1.90332e-123,23,404,364.922,404
16,Q9HWH9,3.57127e-122,1,351,359.914,351
17,Q12723,3.86481e-121,4,374,357.988,374
18,D0V3Y4,4.71674e-121,1,349,356.833,349
19,B2TEK6,3.89395e-115,6,366,342.58,366
20,Q9I4V0,1.06119e-34,5,319,133.417,328
21,Q01284,1.77849e-21,152,377,97.9786,378
22,Q7NTY1,7.60995e-07,128,237,54.0658,316
23,A7Z4Y0,1.40944e-06,329,579,54.0658,746
24,B0T7X2,8.32669e-06,246,363,50.9842,380
25,B6YWA9,1.07928e-05,9,221,49.8286,252
26,O34787,1.45276e-05,343,590,50.599,767
27,Q02Z38,1.96584e-05,135,250,49.8286,329
28,Q9CGF1,1.96584e-05,135,250,49.8286,329
29,B9KBQ2,2.86808e-05,159,412,49.4434,507
30,B1L993,3.45048e-05,159,414,49.4434,507
31,Q9WYM8,3.45048e-05,159,414,49.4434,507
32,A2RL29,3.54912e-05,135,250,49.0582,329
33,Q8ERJ2,3.65483e-05,42,239,48.673,327
34,Q3AWY4,3.86035e-05,33,111,48.2878,258
35,Q6A6A0,5.42553e-05,111,228,47.5174,229
36,Q0W1L8,6.15184e-05,94,203,47.1322,212
37,Q4VRV8,6.69837e-05,269,505,48.673,551
38,B0KG90,7.31658e-05,230,321,47.9026,341
39,Q5WD10,0.000119333,98,273,47.1322,328
40,B9E9B4,0.000133266,108,251,46.747,255
41,Q0ICA6,0.000147377,33,111,46.747,263
42,P49058,0.00020867,31,299,46.747,404
43,O05269,0.000238033,129,272,46.3618,326
44,Q1CT17,0.000259496,29,271,46.3618,325
45,Q185B2,0.00026396,110,205,45.5914,223
46,A7Z8C3,0.000292262,108,272,45.9766,326
47,B7GL45,0.000299709,33,111,45.5914,252
48,B2USX4,0.000302008,30,271,45.9766,325
49,A7Z3F8,0.000323153,41,207,45.5914,254
50,Q65L94,0.000325006,108,253,45.5914,255
51,Q9ZKZ2,0.000348351,123,271,45.5914,325
52,A9IN89,0.000370481,256,360,45.9766,383
53,Q8XNZ3,0.00041171,17,205,44.821,221
54,Q0TUP9,0.00041171,17,205,44.821,221
55,A4VUJ2,0.000474399,39,240,45.2062,327
56,A4W0T4,0.000474399,39,240,45.2062,327
57,A3DD04,0.000493599,136,232,44.821,255
58,Q7V8Q8,0.000496322,33,105,44.821,256
59,B2FIJ0,0.000496901,256,369,45.5914,379
60,Q8PE75,0.000516723,256,363,45.5914,386
61,Q4V0H2,0.000516723,256,363,45.5914,386
62,Q9KGN8,0.000533867,33,299,45.5914,485
63,B0RLM2,0.00053533,256,363,45.2062,386
64,A9BE47,0.000564508,33,111,44.821,258
65,Q6DAY3,0.000584826,256,333,45.2062,386
66,P46454,0.000590023,256,348,45.2062,381
67,A8FC15,0.000597271,108,253,44.821,255
68,B4SMK1,0.000603704,256,369,45.2062,379
69,O25525,0.000608862,130,273,45.2062,327
70,B1L873,0.000635232,63,180,44.4358,253
71,Q0SSM0,0.000680658,139,229,44.4358,254
72,A5UBE3,0.000685772,256,360,45.2062,381
73,Q4QJK8,0.000685772,256,360,45.2062,381
74,Q2SS69,0.000690003,85,210,44.4358,226
75,C0MAM1,0.000695921,39,240,44.821,327
76,Q9SA34,0.00069965,275,394,45.2062,502
77,Q0SWI9,0.000742016,110,205,44.0506,221
78,B5Z7L6,0.000743287,128,271,44.821,325
79,B0BTC7,0.000776169,256,333,44.821,381
80,B3GZA5,0.000776169,256,333,44.821,381
81,A3N3E5,0.000776169,256,333,44.821,381
82,Q329P9,0.000788998,256,384,44.821,396
83,Q0TQ02,0.000816129,139,229,44.4358,254
84,B1YH73,0.000864077,135,240,44.4358,328
85,B9DS39,0.000885125,39,240,44.4358,327
86,A5N8P8,0.000901784,135,207,44.0506,254
87,O50316,0.000903796,276,373,44.821,494
88,Q8XK02,0.000910002,139,229,44.0506,254
89,Q65LF6,0.000914783,129,272,44.4358,326
90,Q9WU19,0.000916021,71,314,44.4358,370
91,Q1J6M7,0.000933704,39,240,44.4358,327
92,Q1JLQ8,0.000933704,39,240,44.4358,327
93,Q1JBS5,0.000933704,39,240,44.4358,327
94,Q8P129,0.000933704,39,240,44.4358,327
95,Q5XC75,0.000933704,39,240,44.4358,327
96,B1LK44,0.000983887,256,368,44.4358,396
97,Q3YVX0,0.00102829,256,385,44.4358,396
98,Q83PP7,0.00102829,256,385,44.4358,396
99,Q0SYD1,0.00102829,256,385,44.4358,396
100,B6I3I4,0.00102829,256,385,44.4358,396
101,B7M492,0.00102829,256,385,44.4358,396
102,B5YWA7,0.00102829,256,385,44.4358,396
103,Q8XDF7,0.00102829,256,385,44.4358,396
104,B7L725,0.00102829,256,385,44.4358,396
105,A7ZTF9,0.00102829,256,385,44.4358,396
106,B7ULG1,0.00106525,256,384,44.4358,396
107,A5UFG9,0.00106709,256,348,44.4358,381
108,C0MF02,0.00108629,39,240,44.4358,327
109,Q31V17,0.00110354,256,384,44.4358,396
110,Q5H6Z4,0.00110883,256,360,44.4358,388
111,B2SUY3,0.00110883,256,360,44.4358,388
112,Q2P9K0,0.00110883,256,360,44.4358,388
113,Q8FCB1,0.00112319,256,384,44.4358,396
114,Q0TBK1,0.00112319,256,384,44.4358,396
