,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,Q12723,1.9884e-169,1,374,480.463,374
1,P47177,6.62898e-147,20,399,424.609,404
2,Q4L4T4,4.68577e-143,1,349,413.053,357
3,Q6GB05,5.15012e-143,1,348,413.053,355
4,Q99VF6,5.87123e-143,1,348,412.667,355
5,A5IR97,5.87123e-143,1,348,412.667,355
6,A6U025,5.87123e-143,1,348,412.667,355
7,Q6GIG7,1.13053e-142,1,348,411.897,355
8,Q8NXG7,1.80803e-142,1,348,411.512,355
9,A8Z1H7,5.62865e-142,1,348,410.356,355
10,A6QFD2,5.62865e-142,1,348,410.356,355
11,Q5HHG4,5.62865e-142,1,348,410.356,355
12,Q2FZX9,5.62865e-142,1,348,410.356,355
13,Q2FIF3,5.62865e-142,1,348,410.356,355
14,Q49W60,6.08359e-141,1,348,407.66,355
15,O05413,1.0051e-129,1,344,378.77,347
16,D0V3Y4,4.95436e-117,1,335,346.798,349
17,Q9HWH9,5.35436e-117,1,349,346.798,351
18,B2TEK6,1.55662e-105,3,354,317.908,366
19,O06179,3.67221e-96,1,362,294.411,375
20,Q9I4V0,8.87777e-30,5,312,120.301,328
21,Q01284,1.79505e-21,10,365,97.9594,378
22,Q9KGN8,1.64244e-08,29,409,59.8247,485
23,Q9ZL14,2.34967e-07,26,365,55.9727,481
24,Q6A6A0,7.12188e-07,111,228,53.2763,229
25,Q8T6T2,7.12965e-07,30,284,54.4319,400
26,P56088,8.20077e-07,26,365,54.4319,481
27,O87392,2.97854e-06,240,328,52.5059,442
28,O67820,4.69558e-06,32,452,52.1207,490
29,B9KBQ2,5.0476e-06,159,412,52.1207,507
30,P49058,5.92076e-06,30,347,51.3503,404
31,B1L993,6.18336e-06,158,414,51.7355,507
32,Q9WYM8,6.18336e-06,158,414,51.7355,507
33,B0T7X2,2.15505e-05,246,363,49.8095,380
34,A7Z4Y0,2.75128e-05,305,571,49.8095,746
35,B0KG90,3.27589e-05,159,321,49.0391,341
36,Q5WD10,3.5049e-05,72,254,49.0391,328
37,P0C0H6,4.3876e-05,33,375,49.0391,493
38,P68839,4.3876e-05,33,375,49.0391,493
39,Q5X9A3,4.3876e-05,33,375,49.0391,493
40,P0C0H7,4.3876e-05,33,375,49.0391,493
41,B1YIR7,4.44884e-05,1,267,48.6539,309
42,Q02Z38,5.75072e-05,73,256,48.2687,329
43,Q24JJ8,5.97404e-05,232,342,48.2687,363
44,Q2SS69,8.62756e-05,65,210,47.1131,226
45,Q9CGF1,9.23522e-05,73,256,47.4983,329
46,A2RL29,0.000107498,73,256,47.4983,329
47,O05269,0.000125117,70,253,47.1131,326
48,Q58746,0.000145039,301,415,47.4983,510
49,P0DB89,0.000158566,33,375,47.1131,493
50,P0DB88,0.000158566,33,375,47.1131,493
51,Q7NTY1,0.000168788,128,257,46.7279,316
52,Q88L40,0.00017474,230,321,46.7279,340
53,Q65LF6,0.000183707,70,253,46.7279,326
54,B1HNS5,0.00019789,28,239,46.7279,327
55,Q9LJH5,0.000209121,161,342,46.7279,363
56,Q040Z7,0.000231894,70,213,45.5723,230
57,O25525,0.000240826,78,275,46.3427,327
58,P21879,0.000260425,29,118,46.7279,488
59,B1YH73,0.000271221,71,254,45.9575,328
60,Q74HT0,0.000299888,70,213,45.1871,230
61,C1DDY1,0.000337546,226,321,45.9575,347
62,A8FD19,0.000363749,1,265,45.5723,310
63,A7Z8C3,0.000385319,70,239,45.5723,326
64,B1J5B5,0.000411796,230,321,45.5723,341
65,O58045,0.00044818,33,366,45.9575,486
66,Q1ICL4,0.00046526,230,321,45.5723,340
67,O49506,0.000517595,228,368,45.1871,368
68,O50316,0.000543111,276,373,45.5723,494
69,Q8ERJ2,0.000556913,70,239,45.1871,327
70,Q9L6B7,0.000589033,274,426,45.5723,487
71,Q97DK4,0.000642262,70,253,44.8019,327
72,Q4VRV8,0.000690013,269,423,45.1871,551
73,Q4ZUM3,0.000693052,226,321,44.8019,343
74,Q9V0Y6,0.000730404,6,261,44.8019,299
75,Q883P1,0.000731009,128,321,44.8019,343
76,A4XKT6,0.000773387,86,271,44.4167,300
77,Q48JY0,0.000777925,226,321,44.8019,343
78,Q58923,0.00094549,101,200,43.6463,219
79,Q4KFI7,0.00104244,226,321,44.4167,339
80,Q3KFC7,0.00105175,226,321,44.4167,339
81,A8AXD6,0.00106712,74,240,44.4167,327
82,P44334,0.00112901,275,423,44.4167,488
83,Q9ZKZ2,0.00125719,76,273,44.0315,325
84,Q4ULD7,0.00126246,63,331,44.0315,345
85,B5XLI1,0.00126379,78,240,44.0315,327
86,Q8DZL4,0.00128649,78,240,44.0315,327
87,Q8E578,0.00128649,78,240,44.0315,327
88,Q9HLK8,0.00131853,253,367,44.4167,485
89,Q83CY0,0.00134936,73,322,44.0315,347
90,A9NCV1,0.00134936,73,322,44.0315,347
91,A9KCF2,0.00134936,73,322,44.0315,347
92,B6J0A5,0.00134936,73,322,44.0315,347
93,B6J754,0.00134936,73,322,44.0315,347
94,Q65I10,0.00157584,183,319,43.6463,349
95,C4L088,0.00160707,70,239,43.6463,327
96,Q8PE75,0.00163009,256,363,44.0315,386
97,Q4V0H2,0.00163009,256,363,44.0315,386
98,O29309,0.00167939,308,415,44.0315,511
99,Q9UZS9,0.00168685,59,295,43.6463,370
100,B0RLM2,0.00168871,256,363,43.6463,386
101,C0MAM1,0.00174106,74,240,43.6463,327
102,Q3K110,0.00177232,73,240,43.6463,327
103,O34787,0.00183096,316,582,44.0315,767
104,P0DB91,0.00190306,78,240,43.6463,327
105,Q48TL6,0.00190306,78,240,43.6463,327
106,Q1JGV8,0.00190306,78,240,43.6463,327
107,P0DB90,0.00190306,78,240,43.6463,327
108,Q99ZQ1,0.00198962,78,240,43.2611,327
109,B1IC44,0.00199462,24,240,43.2611,328
110,C0MF02,0.00202534,78,240,43.2611,327
111,Q8G3N6,0.00207054,306,427,43.6463,545
112,Q8KCW4,0.00209756,276,373,43.6463,494
113,B9DS39,0.00211745,74,240,43.2611,327
114,Q5FJB5,0.00213372,80,270,43.2611,307
115,Q8DPJ7,0.0021417,24,240,43.2611,328
116,C1C7M7,0.0021417,24,240,43.2611,328
117,Q04K71,0.0021417,24,240,43.2611,328
118,B5E4Y3,0.0024473,24,240,43.2611,328
119,Q814I1,0.00251346,72,254,43.2611,328
120,Q1J6M7,0.00262126,78,240,42.8759,327
121,Q1JLQ8,0.00262126,78,240,42.8759,327
122,Q1JBS5,0.00262126,78,240,42.8759,327
123,Q8P129,0.00262126,78,240,42.8759,327
124,Q5XC75,0.00262126,78,240,42.8759,327
125,Q8CMQ7,0.00281117,29,300,43.2611,488
126,Q5HRX2,0.00281117,29,300,43.2611,488
127,Q8CWG1,0.00283912,173,266,42.8759,304
128,Q8R9R7,0.00299481,137,264,42.8759,301
129,Q97QG5,0.00328164,24,240,42.8759,328
130,B9MS26,0.00335325,86,271,42.4907,300
131,Q8AA13,0.00344782,29,196,42.1055,209
132,Q13ZM3,0.00349524,245,325,42.8759,340
133,A9IN89,0.00352824,256,363,42.8759,383
134,A5FJK8,0.00353315,164,234,42.1055,243
135,Q6HAI0,0.00364217,71,253,42.4907,327
136,A0RLN5,0.00365095,72,254,42.4907,328
137,O59185,0.00373314,9,265,42.4907,303
138,Q6A912,0.00381087,167,269,42.4907,307
139,B2USX4,0.00382304,76,273,42.4907,325
140,A9A5Y7,0.0038466,269,434,42.8759,476
141,Q5P1A9,0.00407654,280,314,42.4907,350
142,C5CT60,0.00425339,198,237,42.4907,325
143,C1CEK5,0.00432238,24,240,42.4907,328
144,Q49UU8,0.00439574,31,252,42.4907,488
145,B5Z7L6,0.00440733,76,273,42.4907,325
146,Q5H6Z4,0.00475753,256,363,42.4907,388
147,B2SUY3,0.00475753,256,363,42.4907,388
148,Q2P9K0,0.00475753,256,363,42.4907,388
149,C1CR55,0.00476608,24,240,42.1055,328
150,B8ZJR9,0.00476608,24,240,42.1055,328
151,B2IPN4,0.00493847,24,240,42.1055,328
152,C1CKY8,0.00498253,24,240,42.1055,328
153,C3K017,0.00526703,226,321,42.1055,341
154,Q82ST3,0.0052781,85,315,42.1055,342
155,Q831S1,0.0054551,27,252,42.1055,325
156,O58893,0.00562247,60,296,42.1055,371
157,Q8PR33,0.00577614,256,363,42.1055,388
158,Q3BZH2,0.00598349,256,363,42.1055,388
159,Q72WY4,0.00599013,71,253,42.1055,327
