,ids,e_value,hit_start,hit_end,bitscore,protein_length
0,Q6GIG7,0.0,9,348,513.124,355
1,Q6GB05,0.0,9,348,512.739,355
2,Q99VF6,0.0,9,348,512.739,355
3,A5IR97,0.0,9,348,512.739,355
4,A6U025,0.0,9,348,512.739,355
5,Q8NXG7,0.0,9,348,511.969,355
6,A8Z1H7,0.0,9,348,508.887,355
7,A6QFD2,0.0,9,348,508.887,355
8,Q5HHG4,0.0,9,348,508.887,355
9,Q2FZX9,0.0,9,348,508.887,355
10,Q2FIF3,0.0,9,348,508.887,355
11,Q4L4T4,1.02222e-174,9,349,491.938,357
12,Q49W60,9.71805e-172,9,348,484.235,355
13,O05413,2.0168e-151,6,344,432.618,347
14,Q9HWH9,7.3614e-140,7,349,403.343,351
15,D0V3Y4,8.11422e-139,7,347,400.646,349
16,Q12723,4.80944e-131,10,374,381.771,374
17,B2TEK6,1.59957e-127,12,354,372.527,366
18,P47177,7.40844e-122,29,399,359.43,404
19,O06179,1.9611e-100,7,362,303.961,375
20,Q9I4V0,1.51422e-38,10,312,142.562,328
21,Q01284,4.08333e-23,33,365,102.117,378
22,Q6A6A0,2.33296e-08,111,228,57.4334,229
23,Q7NTY1,1.72011e-07,128,240,55.5074,316
24,Q8T6T2,1.74411e-07,37,373,55.8926,400
25,Q02Z38,9.11511e-07,135,250,53.5814,329
26,Q9CGF1,9.11511e-07,135,250,53.5814,329
27,Q5WD10,1.54801e-06,86,273,52.811,328
28,A2RL29,1.59625e-06,135,250,52.811,329
29,B0KG90,2.13933e-06,90,321,52.4258,341
30,A8M9N4,2.83766e-06,7,190,50.885,205
31,A7Z8C3,4.45987e-06,82,272,51.2702,326
32,Q04GD9,5.0527e-06,128,296,51.2702,323
33,Q8A9C3,7.0243e-06,77,267,50.4998,303
34,Q2SS69,7.69572e-06,85,210,49.7294,226
35,O05269,9.33976e-06,129,272,50.4998,326
36,Q8ERJ2,9.80241e-06,61,239,50.4998,327
37,Q883P1,1.0388e-05,90,321,50.4998,343
38,Q0W1L8,1.04265e-05,94,203,49.3442,212
39,B0T7X2,1.13758e-05,246,363,50.4998,380
40,Q9ZKZ2,1.24183e-05,123,271,50.1146,325
41,C1DDY1,1.26839e-05,90,321,50.1146,347
42,Q8R806,1.26992e-05,50,204,48.959,214
43,Q8KCW4,1.69802e-05,276,373,50.1146,494
44,Q6HAI0,1.87403e-05,85,272,49.3442,327
45,A0RLN5,1.87996e-05,86,273,49.3442,328
46,O25525,1.89096e-05,130,273,49.3442,327
47,Q8R9R7,2.06335e-05,16,264,49.3442,301
48,Q9UZQ5,2.19088e-05,48,204,48.1886,207
49,Q185B2,2.21892e-05,110,205,48.5738,223
50,B1L993,2.38831e-05,167,414,49.7294,507
51,Q9WYM8,2.38831e-05,167,414,49.7294,507
52,P49058,2.43222e-05,37,299,49.3442,404
53,B5Z7L6,2.55116e-05,128,271,48.959,325
54,Q8U192,2.64068e-05,8,204,48.1886,207
55,Q1CT17,2.6926e-05,123,271,48.959,325
56,Q88L40,3.05169e-05,90,321,48.959,340
57,B1YH73,3.05482e-05,135,240,48.959,328
58,Q65LF6,3.60137e-05,129,272,48.5738,326
59,B9KBQ2,3.71939e-05,167,412,48.959,507
60,O87392,3.8113e-05,240,377,48.959,442
61,Q630E8,4.09666e-05,85,272,48.5738,327
62,Q81JJ9,4.09666e-05,85,272,48.5738,327
63,Q8XNZ3,4.13408e-05,71,205,47.8034,221
64,Q0TUP9,4.13408e-05,71,205,47.8034,221
65,C0MF02,4.32352e-05,78,240,48.1886,327
66,C0MAM1,4.32352e-05,78,240,48.1886,327
67,B2USX4,4.91713e-05,123,271,48.1886,325
68,Q0SWI9,4.93005e-05,71,205,47.4182,221
69,A6L5H1,4.99355e-05,58,267,48.1886,303
70,Q814I1,5.57617e-05,86,273,48.1886,328
71,Q72WY4,5.97363e-05,129,272,47.8034,327
72,C4L088,6.0275e-05,143,239,47.8034,327
73,Q4KFI7,6.52062e-05,90,321,47.8034,339
74,Q4VRV8,6.56398e-05,269,423,48.1886,551
75,Q64TN0,7.22767e-05,139,267,47.4182,303
76,Q5LCI2,7.22767e-05,139,267,47.4182,303
77,C3K017,7.63323e-05,90,321,47.8034,341
78,Q48JY0,7.6727e-05,90,321,47.8034,343
79,Q58923,8.14152e-05,101,200,46.6478,219
80,O58878,8.87299e-05,42,204,46.6478,207
81,Q39UK4,9.20219e-05,53,277,47.4182,305
82,Q3KFC7,9.49876e-05,226,321,47.4182,339
83,A2SQR0,9.74088e-05,98,220,46.6478,236
84,Q5P1A9,0.000101185,222,314,47.4182,350
85,Q9HLK8,0.000104394,252,409,47.4182,485
86,B5EFU4,0.000107248,220,269,47.033,305
87,Q1ICL4,0.000108921,90,321,47.033,340
88,Q97DK4,0.000112958,94,272,47.033,327
89,A6TVS0,0.000121461,219,278,47.033,302
90,O50316,0.000137338,276,373,47.033,494
91,A5G3H0,0.000152359,53,269,46.6478,305
92,Q74HT0,0.000191167,111,213,45.8774,230
93,Q9SA34,0.000200571,275,394,46.6478,502
94,Q040Z7,0.000217453,31,213,45.4922,230
95,Q8G3N6,0.000222942,306,427,46.6478,545
96,Q4ZUM3,0.000256635,105,321,45.8774,343
97,Q9LJH5,0.00027304,217,342,45.8774,363
98,A9BJH4,0.000273673,224,275,45.8774,300
99,C6E6N2,0.000293785,53,269,45.8774,305
100,Q9L6B7,0.000304971,274,370,46.2626,487
101,A1KRQ4,0.000332003,105,314,45.4922,335
102,A3DD04,0.000334925,136,232,45.107,255
103,P56088,0.00034012,284,410,45.8774,481
104,Q12658,0.000351541,306,411,45.8774,529
105,A0QSU4,0.000371593,125,218,45.4922,375
106,Q9ZL14,0.000384911,311,410,45.8774,481
107,A9M3G1,0.000413763,105,314,45.4922,341
108,Q6DAY3,0.000417798,256,333,45.4922,386
109,P61422,0.000463221,13,205,45.4922,490
110,B1J5B5,0.000508098,93,321,45.107,341
111,P65171,0.000569503,125,218,45.107,375
112,P9WKI5,0.000569503,125,218,45.107,375
113,P9WKI4,0.000569503,125,218,45.107,375
114,B1LK44,0.000616581,256,368,45.107,396
115,A8LY18,0.000647833,141,321,44.7218,338
116,A4XWQ0,0.000662592,90,321,44.7218,340
117,B2FIJ0,0.000735598,256,369,44.7218,379
118,Q329P9,0.000756185,256,368,44.7218,396
119,A1AHE2,0.000819041,256,368,44.7218,396
120,Q3YVX0,0.000833703,256,368,44.7218,396
121,Q83PP7,0.000833703,256,368,44.7218,396
122,Q0SYD1,0.000833703,256,368,44.7218,396
123,Q31V17,0.000833703,256,368,44.7218,396
124,B6I3I4,0.000833703,256,368,44.7218,396
125,B7M492,0.000833703,256,368,44.7218,396
126,B5YWA7,0.000833703,256,368,44.7218,396
127,Q8XDF7,0.000833703,256,368,44.7218,396
128,B7L725,0.000833703,256,368,44.7218,396
129,A7ZTF9,0.000833703,256,368,44.7218,396
130,Q8FCB1,0.000841132,256,368,44.7218,396
131,Q0TBK1,0.000841132,256,368,44.7218,396
132,B7NPB4,0.000841132,256,368,44.7218,396
133,B7ULG1,0.000841132,256,368,44.7218,396
134,Q1R4Z0,0.000902992,256,368,44.3366,396
135,B7MFG9,0.000902992,256,368,44.3366,396
136,B2U5C2,0.000943941,256,368,44.3366,396
