,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,Q6GB05,355,354,8.2e-178,595.8,1,1,9.2e-178,595.6,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
1,Q6GIG7,355,354,8.5e-178,595.7,1,1,9.5e-178,595.6,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
2,Q8NXG7,355,354,1.4e-177,595.1,1,1,1.5e-177,594.9,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
3,A5IR97,355,354,2.4e-177,594.3,1,1,2.6e-177,594.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
4,A6U025,355,354,2.4e-177,594.3,1,1,2.6e-177,594.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
5,Q99VF6,355,354,2.4e-177,594.3,1,1,2.6e-177,594.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
6,A6QFD2,355,354,2e-176,591.2,1,1,2.3e-176,591.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
7,A8Z1H7,355,354,2e-176,591.2,1,1,2.3e-176,591.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
8,Q2FIF3,355,354,2e-176,591.2,1,1,2.3e-176,591.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
9,Q2FZX9,355,354,2e-176,591.2,1,1,2.3e-176,591.1,1,353,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
