,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,D0V3Y4,349,347,3.7e-137,461.9,1,1,4.2e-137,461.8,5,347,0.98,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
1,B2TEK6,366,347,8.4e-137,460.8,1,1,9.6e-137,460.6,12,354,0.99,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
2,Q9HWH9,351,347,1e-127,430.9,1,1,1.2e-127,430.7,5,349,0.98,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
3,Q12723,374,347,1.4e-113,384.4,1,1,1.6e-113,384.2,8,373,0.94,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
4,P47177,404,347,6e-113,382.3,1,1,6.8e-113,382.1,27,396,0.92,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
5,Q49W60,355,347,4.4e-94,320.3,1,1,5.1e-94,320.1,10,348,0.92,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
6,Q6GIG7,355,347,5e-93,316.8,1,1,5.7e-93,316.6,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
7,A5IR97,355,347,5e-93,316.8,1,1,5.7e-93,316.6,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
8,A6U025,355,347,5e-93,316.8,1,1,5.7e-93,316.6,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
9,Q99VF6,355,347,5e-93,316.8,1,1,5.7e-93,316.6,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
10,Q4L4T4,357,347,6e-93,316.5,1,1,6.9e-93,316.4,7,348,0.90,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
11,Q6GB05,355,347,7.4e-93,316.3,1,1,8.4e-93,316.1,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
12,Q8NXG7,355,347,1.9e-92,314.9,1,1,2.1e-92,314.7,7,347,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
13,A6QFD2,355,347,3.6e-92,314.0,1,1,4.1e-92,313.8,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
14,A8Z1H7,355,347,3.6e-92,314.0,1,1,4.1e-92,313.8,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
15,Q2FIF3,355,347,3.6e-92,314.0,1,1,4.1e-92,313.8,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
16,Q2FZX9,355,347,3.6e-92,314.0,1,1,4.1e-92,313.8,7,347,0.93,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
