,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,D0V3Y4,349,355,2.3e-140,472.5,1,1,2.5e-140,472.3,2,348,0.99,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
1,B2TEK6,366,355,9.4e-140,470.5,1,1,1.1e-139,470.3,8,356,0.99,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
2,Q9HWH9,351,355,6.4e-131,441.4,1,1,7.1e-131,441.3,3,350,0.99,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
3,P47177,404,355,7.2e-119,401.8,1,1,8.7e-119,401.5,23,399,0.95,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
4,Q12723,374,355,5.2e-116,392.4,1,1,6e-116,392.2,4,374,0.96,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
5,Q49W60,355,355,1.2e-96,328.7,1,1,1.3e-96,328.5,4,351,0.93,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
6,Q6GIG7,355,355,1e-95,325.6,1,1,1.1e-95,325.4,2,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
7,Q8NXG7,355,355,1.2e-95,325.4,1,1,1.3e-95,325.2,2,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
8,Q6GB05,355,355,1.5e-95,325.1,1,1,1.7e-95,324.9,2,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
9,Q4L4T4,357,355,1.7e-95,324.9,1,1,2.1e-95,324.6,3,350,0.91,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
10,A5IR97,355,355,1.9e-95,324.7,1,1,2.1e-95,324.6,2,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
11,A6U025,355,355,1.9e-95,324.7,1,1,2.1e-95,324.6,2,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
12,Q99VF6,355,355,1.9e-95,324.7,1,1,2.1e-95,324.6,2,350,0.92,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
