,index,pdb,sp_primary,chain,pdb_beg,pdb_end,sp_beg,sp_end
0,45184,4q4k,Q9HWH9,A,1,351,1,351
1,45185,4q4k,Q9HWH9,B,2,351,2,351
2,54616,5dn1,P16250,A,1,240,1,240
3,66868,5ue9,Q9CFW8,A,5,310,5,310
4,66870,5ue9,Q9CFW8,C,5,309,5,309
5,92647,6udo,P12268,A,12,420,12,420
6,92648,6udo,P12268,A,437,514,437,514
7,92649,6udo,P12268,B,12,420,12,420
8,92650,6udo,P12268,B,437,514,437,514
9,92651,6udo,P12268,C,12,420,12,420
10,92652,6udo,P12268,C,437,514,437,514
11,92653,6udo,P12268,D,12,420,12,420
12,92654,6udo,P12268,D,437,514,437,514
13,92655,6udo,P12268,E,12,420,12,420
14,92656,6udo,P12268,E,437,514,437,514
15,92657,6udo,P12268,F,12,420,12,420
16,92658,6udo,P12268,F,437,514,437,514
17,92659,6udo,P12268,G,12,420,12,420
18,92660,6udo,P12268,G,437,514,437,514
19,92661,6udo,P12268,H,12,420,12,420
20,92662,6udo,P12268,H,437,514,437,514
21,92663,6udo,P12268,I,1,14,1,14
22,92664,6udo,P12268,J,1,14,1,14
23,92665,6udo,P12268,K,1,14,1,14
24,92666,6udo,P12268,L,1,14,1,14
25,92667,6udo,P12268,M,1,14,1,14
26,92668,6udo,P12268,N,1,14,1,14
27,92669,6udo,P12268,O,1,14,1,14
28,92670,6udo,P12268,P,1,14,1,14
29,99583,1ep2,P54322,A,3,137,3,137
30,99584,1ep2,P54322,A,142,311,142,311
31,103150,1nf7,P12268,A,10,124,10,124
32,103151,1nf7,P12268,A,156,166,156,166
33,103152,1nf7,P12268,A,170,225,170,225
34,103153,1nf7,P12268,A,227,420,227,420
35,103154,1nf7,P12268,A,437,514,437,514
36,103155,1nf7,P12268,B,10,124,10,124
37,103156,1nf7,P12268,B,156,166,156,166
38,103157,1nf7,P12268,B,170,225,170,225
39,103158,1nf7,P12268,B,227,420,227,420
40,103159,1nf7,P12268,B,437,514,437,514
41,106256,1uum,Q63707,A,38,215,37,214
42,106257,1uum,Q63707,A,225,396,224,395
43,106258,1uum,Q63707,B,38,215,37,214
44,106259,1uum,Q63707,B,225,396,224,395
45,117182,2x30,P16250,A,1,169,1,169
46,117183,2x30,P16250,A,177,240,177,240
47,174302,6e2a,Q9I4V0,A,2,327,2,327
48,191174,6u9o,P12268,A,11,420,11,420
49,191175,6u9o,P12268,A,437,514,437,514
50,191176,6u9o,P12268,B,11,420,11,420
51,191177,6u9o,P12268,B,437,514,437,514
52,191178,6u9o,P12268,C,11,420,11,420
53,191179,6u9o,P12268,C,437,514,437,514
54,191180,6u9o,P12268,D,11,420,11,420
55,191181,6u9o,P12268,D,437,514,437,514
56,191182,6u9o,P12268,E,11,420,11,420
57,191183,6u9o,P12268,E,437,514,437,514
58,191184,6u9o,P12268,F,11,420,11,420
59,191185,6u9o,P12268,F,437,514,437,514
60,191186,6u9o,P12268,G,11,420,11,420
61,191187,6u9o,P12268,G,437,514,437,514
62,191188,6u9o,P12268,H,11,420,11,420
63,191189,6u9o,P12268,H,437,514,437,514
64,191190,6u9o,P12268,I,1,14,1,14
65,191191,6u9o,P12268,J,1,14,1,14
66,191192,6u9o,P12268,K,1,14,1,14
67,191193,6u9o,P12268,L,1,14,1,14
68,191194,6u9o,P12268,M,1,14,1,14
69,191195,6u9o,P12268,N,1,14,1,14
70,191196,6u9o,P12268,O,1,14,1,14
71,191197,6u9o,P12268,P,1,14,1,14
72,191198,6udp,P12268,A,1,110,1,110
73,191199,6udp,P12268,A,233,420,233,420
74,191200,6udp,P12268,A,437,514,437,514
75,191201,6udp,P12268,B,1,110,1,110
76,191202,6udp,P12268,B,233,420,233,420
77,191203,6udp,P12268,B,437,514,437,514
78,191204,6udp,P12268,C,1,110,1,110
79,191205,6udp,P12268,C,233,420,233,420
80,191206,6udp,P12268,C,437,514,437,514
81,191207,6udp,P12268,D,1,110,1,110
82,191208,6udp,P12268,D,233,420,233,420
83,191209,6udp,P12268,D,437,514,437,514
84,191210,6udp,P12268,E,1,110,1,110
85,191211,6udp,P12268,E,233,420,233,420
86,191212,6udp,P12268,E,437,514,437,514
87,191213,6udp,P12268,F,1,110,1,110
88,191214,6udp,P12268,F,233,420,233,420
89,191215,6udp,P12268,F,437,514,437,514
90,191216,6udp,P12268,G,1,110,1,110
91,191217,6udp,P12268,G,233,420,233,420
92,191218,6udp,P12268,G,437,514,437,514
93,191219,6udp,P12268,H,1,110,1,110
94,191220,6udp,P12268,H,233,420,233,420
95,191221,6udp,P12268,H,437,514,437,514
96,205890,1uuo,Q63707,A,34,69,33,68
97,205891,1uuo,Q63707,A,74,216,73,215
98,205892,1uuo,Q63707,A,225,396,224,395
99,288913,6uaj,P12268,A,10,420,10,420
100,288914,6uaj,P12268,A,437,514,437,514
101,288915,6uaj,P12268,B,10,420,10,420
102,288916,6uaj,P12268,B,437,514,437,514
103,288917,6uaj,P12268,C,10,420,10,420
104,288918,6uaj,P12268,C,437,514,437,514
105,288919,6uaj,P12268,D,10,420,10,420
106,288920,6uaj,P12268,D,437,514,437,514
107,288921,6uaj,P12268,E,10,420,10,420
108,288922,6uaj,P12268,E,437,514,437,514
109,288923,6uaj,P12268,F,10,420,10,420
110,288924,6uaj,P12268,F,437,514,437,514
111,288925,6uaj,P12268,G,10,420,10,420
112,288926,6uaj,P12268,G,437,514,437,514
113,288927,6uaj,P12268,H,10,420,10,420
114,288928,6uaj,P12268,H,437,514,437,514
115,288935,6ua5,P12268,A,1,110,1,110
116,288936,6ua5,P12268,A,233,420,233,420
117,288937,6ua5,P12268,A,437,514,437,514
118,288938,6ua5,P12268,B,1,110,1,110
119,288939,6ua5,P12268,B,233,420,233,420
120,288940,6ua5,P12268,B,437,514,437,514
121,288941,6ua5,P12268,C,1,110,1,110
122,288942,6ua5,P12268,C,233,420,233,420
123,288943,6ua5,P12268,C,437,514,437,514
124,288944,6ua5,P12268,D,1,110,1,110
125,288945,6ua5,P12268,D,233,420,233,420
126,288946,6ua5,P12268,D,437,514,437,514
127,288947,6ua5,P12268,E,1,110,1,110
128,288948,6ua5,P12268,E,233,420,233,420
129,288949,6ua5,P12268,E,437,514,437,514
130,288950,6ua5,P12268,F,1,110,1,110
131,288951,6ua5,P12268,F,233,420,233,420
132,288952,6ua5,P12268,F,437,514,437,514
133,288953,6ua5,P12268,G,1,110,1,110
134,288954,6ua5,P12268,G,233,420,233,420
135,288955,6ua5,P12268,G,437,514,437,514
136,288956,6ua5,P12268,H,1,110,1,110
137,288957,6ua5,P12268,H,233,420,233,420
138,288958,6ua5,P12268,H,437,514,437,514
139,296866,1ep1,P54322,A,3,311,3,311
140,296879,1ep3,P54322,A,1,311,1,311
141,307017,2cu0,O58045,A,3,96,3,96
142,307018,2cu0,O58045,A,207,392,207,392
143,307019,2cu0,O58045,A,403,480,403,480
144,307020,2cu0,O58045,B,3,95,3,95
145,307021,2cu0,O58045,B,207,392,207,392
146,307022,2cu0,O58045,B,403,478,403,478
147,336239,4ixh,Q8T6T2,A,1,89,1,89
148,336240,4ixh,Q8T6T2,A,135,311,135,311
149,336241,4ixh,Q8T6T2,A,326,392,326,392
150,336242,4ixh,Q8T6T2,B,2,89,2,89
151,336243,4ixh,Q8T6T2,B,135,310,135,310
152,336244,4ixh,Q8T6T2,B,326,392,326,392
153,336245,4ixh,Q8T6T2,C,1,89,1,89
154,336246,4ixh,Q8T6T2,C,135,311,135,311
155,336247,4ixh,Q8T6T2,C,326,392,326,392
156,336248,4ixh,Q8T6T2,D,2,89,2,89
157,336249,4ixh,Q8T6T2,D,135,310,135,310
158,336250,4ixh,Q8T6T2,D,326,392,326,392
159,336576,4jej,A5FJK8,A,4,243,4,243
160,340770,4qj1,Q8T6T2,A,2,89,2,89
161,340771,4qj1,Q8T6T2,A,90,309,132,309
162,340772,4qj1,Q8T6T2,A,324,399,324,399
163,340773,4qj1,Q8T6T2,B,1,89,1,89
164,340774,4qj1,Q8T6T2,B,90,310,132,310
165,340775,4qj1,Q8T6T2,B,324,399,324,399
166,340776,4qj1,Q8T6T2,C,1,89,1,89
167,340777,4qj1,Q8T6T2,C,90,310,132,310
168,340778,4qj1,Q8T6T2,C,324,399,324,399
169,340779,4qj1,Q8T6T2,D,1,89,1,89
170,340780,4qj1,Q8T6T2,D,90,310,132,310
171,340781,4qj1,Q8T6T2,D,324,399,324,399
172,373707,6i0m,P12268,A,12,166,12,166
173,373708,6i0m,P12268,A,170,329,170,329
174,373709,6i0m,P12268,A,332,404,332,404
175,373710,6i0m,P12268,A,413,419,413,419
176,373711,6i0m,P12268,A,448,502,448,502
177,373712,6i0m,P12268,B,11,146,11,146
178,373713,6i0m,P12268,B,148,155,148,155
179,373714,6i0m,P12268,B,157,166,157,166
180,373715,6i0m,P12268,B,170,176,170,176
181,373716,6i0m,P12268,B,178,182,178,182
182,373717,6i0m,P12268,B,185,214,185,214
183,373718,6i0m,P12268,B,216,329,216,329
184,373719,6i0m,P12268,B,332,407,332,407
185,373720,6i0m,P12268,B,448,501,448,501
186,373721,6i0m,P12268,B,511,514,511,514
187,386641,6u8s,P12268,A,1,110,1,110
188,386642,6u8s,P12268,A,233,420,233,420
189,386643,6u8s,P12268,A,437,514,437,514
190,386644,6u8s,P12268,B,1,110,1,110
191,386645,6u8s,P12268,B,233,420,233,420
192,386646,6u8s,P12268,B,437,514,437,514
193,386647,6u8s,P12268,C,1,110,1,110
194,386648,6u8s,P12268,C,233,420,233,420
195,386649,6u8s,P12268,C,437,514,437,514
196,386650,6u8s,P12268,D,1,110,1,110
197,386651,6u8s,P12268,D,233,420,233,420
198,386652,6u8s,P12268,D,437,514,437,514
199,386653,6u8s,P12268,E,1,110,1,110
200,386654,6u8s,P12268,E,233,420,233,420
201,386655,6u8s,P12268,E,437,514,437,514
202,386656,6u8s,P12268,F,1,110,1,110
203,386657,6u8s,P12268,F,233,420,233,420
204,386658,6u8s,P12268,F,437,514,437,514
205,386659,6u8s,P12268,G,1,110,1,110
206,386660,6u8s,P12268,G,233,420,233,420
207,386661,6u8s,P12268,G,437,514,437,514
208,386662,6u8s,P12268,H,1,110,1,110
209,386663,6u8s,P12268,H,233,420,233,420
210,386664,6u8s,P12268,H,437,514,437,514
211,386689,6u8r,P12268,A,11,420,11,420
212,386690,6u8r,P12268,A,437,514,437,514
213,386691,6u8r,P12268,B,11,420,11,420
214,386692,6u8r,P12268,B,437,514,437,514
215,386693,6u8r,P12268,C,11,420,11,420
216,386694,6u8r,P12268,C,437,514,437,514
217,386695,6u8r,P12268,D,11,420,11,420
218,386696,6u8r,P12268,D,437,514,437,514
219,386697,6u8r,P12268,E,11,420,11,420
220,386698,6u8r,P12268,E,437,514,437,514
221,386699,6u8r,P12268,F,11,420,11,420
222,386700,6u8r,P12268,F,437,514,437,514
223,386701,6u8r,P12268,G,11,420,11,420
224,386702,6u8r,P12268,G,437,514,437,514
225,386703,6u8r,P12268,H,11,420,11,420
226,386704,6u8r,P12268,H,437,514,437,514
227,386705,6u8r,P12268,I,1,14,1,14
228,386706,6u8r,P12268,J,1,14,1,14
229,386707,6u8r,P12268,K,1,14,1,14
230,386708,6u8r,P12268,L,1,14,1,14
231,386709,6u8r,P12268,M,1,14,1,14
232,386710,6u8r,P12268,N,1,14,1,14
