,1ep1,1ep3,1jr1,1uum,1vzw,2cu0,2x30,3ffs,4ixh,4jej,4ori,4q4k,5ksw,5ue9,6bka,6dvh,6dvi,6e2a,6i0o,6u8e
1ep1,1.0,0.9968,0.66428,0.83693,0.54549,0.65414,0.54203,0.64213,0.65672,0.52467,0.8372,0.57562,0.98797,0.98743,0.55216,0.66103,0.66235,0.59231,0.65358,0.66365
1ep3,0.99041,1.0,0.66242,0.836,0.54192,0.65085,0.49098,0.63826,0.65286,0.52178,0.83541,0.57312,0.9817,0.98152,0.56453,0.6597,0.66023,0.44748,0.65144,0.66135
1jr1,0.48585,0.48752,1.0,0.4917,0.38308,0.76847,0.35522,0.66202,0.73731,0.37531,0.49389,0.50891,0.48212,0.48246,0.50365,0.54386,0.54369,0.52107,0.82789,0.81804
1uum,0.7442,0.74809,0.59903,1.0,0.42785,0.59032,0.44332,0.57691,0.58663,0.46329,0.97879,0.43076,0.7385,0.73912,0.50354,0.60469,0.60603,0.43575,0.58979,0.59741
1vzw,0.72299,0.72199,0.69187,0.61886,1.0,0.62947,0.97991,0.61735,0.69348,0.67954,0.72267,0.6751,0.72168,0.72123,0.62217,0.72208,0.72199,0.62579,0.61871,0.63034
2cu0,0.57177,0.57232,0.93216,0.57835,0.41789,1.0,0.41937,0.80943,0.91709,0.44203,0.57934,0.59777,0.56759,0.56766,0.58884,0.64724,0.64734,0.6139,0.77864,0.92207
2x30,0.69306,0.62372,0.61272,0.62083,0.94253,0.61088,1.0,0.66287,0.66393,0.64699,0.62328,0.65436,0.69272,0.69173,0.60092,0.58976,0.59,0.60436,0.67144,0.66763
3ffs,0.65757,0.65747,0.94908,0.66056,0.47793,0.95845,0.52923,1.0,0.94155,0.50411,0.66337,0.63481,0.6516,0.6522,0.62681,0.7486,0.74833,0.6619,0.92298,0.94344
4ixh,0.60857,0.60853,0.95238,0.60869,0.48581,0.97631,0.48262,0.84494,1.0,0.43578,0.60792,0.63531,0.6031,0.60336,0.62785,0.69204,0.6921,0.65072,0.80468,0.95266
4jej,0.64803,0.64805,0.62378,0.62822,0.63932,0.6194,0.62917,0.60782,0.57416,1.0,0.63615,0.57734,0.64527,0.64612,0.57325,0.62421,0.62426,0.56294,0.60983,0.6257
4ori,0.73502,0.73808,0.59446,0.96516,0.48143,0.58377,0.43897,0.57191,0.57845,0.46186,1.0,0.4798,0.72918,0.72975,0.41233,0.61744,0.61778,0.52832,0.58514,0.59294
4q4k,0.5134,0.51405,0.62063,0.42977,0.45473,0.60855,0.45619,0.55188,0.61062,0.42362,0.48444,1.0,0.5136,0.51338,0.93083,0.52559,0.52582,0.78237,0.55956,0.62099
5ksw,0.99763,0.99771,0.66457,0.83813,0.54955,0.655,0.54649,0.64197,0.65657,0.52729,0.83813,0.5809,1.0,0.99881,0.57397,0.66127,0.662,0.5978,0.65325,0.6634
5ue9,0.99709,0.99752,0.6651,0.8388,0.54928,0.65507,0.54583,0.64256,0.65687,0.52792,0.8388,0.58042,0.99881,1.0,0.57478,0.6616,0.66227,0.59738,0.65407,0.664
6bka,0.46926,0.48017,0.57917,0.47667,0.40214,0.56784,0.40226,0.51691,0.57163,0.39995,0.39637,0.87826,0.48078,0.48142,1.0,0.49327,0.49437,0.71958,0.51985,0.57826
6dvh,0.52885,0.53143,0.59757,0.54348,0.43342,0.5919,0.37575,0.58352,0.5967,0.40814,0.56193,0.47312,0.52443,0.52469,0.46942,1.0,0.99884,0.49167,0.58627,0.59849
6dvi,0.52974,0.53171,0.59737,0.54467,0.43387,0.592,0.37596,0.58337,0.59676,0.40814,0.56222,0.47333,0.52484,0.52506,0.47026,0.99884,1.0,0.4927,0.5859,0.59817
6e2a,0.56471,0.43103,0.67921,0.46198,0.45678,0.6679,0.45623,0.61602,0.66869,0.43855,0.57001,0.83813,0.56501,0.56465,0.81372,0.5826,0.58385,1.0,0.62256,0.67787
6i0o,0.47975,0.48126,0.83159,0.48589,0.34685,0.64523,0.38451,0.64533,0.62657,0.36778,0.488,0.45888,0.47568,0.4762,0.45267,0.536,0.53569,0.47744,1.0,0.70367
6u8e,0.55718,0.55865,0.95028,0.56159,0.40461,0.88121,0.43906,0.76189,0.85536,0.42932,0.56439,0.58476,0.55237,0.55283,0.57551,0.62658,0.62622,0.59666,0.81304,1.0
