,ids,target_len,query_len,E-value,score_sequence,domain_number,of,i-Evalue,score_domain,from_ali_coord,to_ali_coord,acc,description_of_target
0,Q6GIG7,355,340,5e-170,570.0,1,1,5.7e-170,569.8,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
1,Q6GB05,355,340,5.2e-170,570.0,1,1,5.9e-170,569.8,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
2,Q8NXG7,355,340,8.1e-170,569.3,1,1,9.2e-170,569.2,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
3,A5IR97,355,340,1.4e-169,568.5,1,1,1.6e-169,568.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
4,A6U025,355,340,1.4e-169,568.5,1,1,1.6e-169,568.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
5,Q99VF6,355,340,1.4e-169,568.5,1,1,1.6e-169,568.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
6,A6QFD2,355,340,1.2e-168,565.5,1,1,1.3e-168,565.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
7,A8Z1H7,355,340,1.2e-168,565.5,1,1,1.3e-168,565.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
8,Q2FIF3,355,340,1.2e-168,565.5,1,1,1.3e-168,565.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
9,Q2FZX9,355,340,1.2e-168,565.5,1,1,1.3e-168,565.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
10,Q5HHG4,355,340,1.2e-168,565.5,1,1,1.3e-168,565.4,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain COL) OX=93062 GN=SACOL0922 PE=3 SV=1
11,Q4L4T4,357,340,2e-158,531.8,1,1,2.3e-158,531.7,9,348,0.99,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
12,Q49W60,355,340,1.2e-156,526.0,1,1,1.4e-156,525.9,10,348,0.99,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
13,D0V3Y4,349,340,2e-138,466.1,1,1,2.3e-138,465.9,8,346,0.99,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
14,O05413,347,340,2.1e-136,459.5,1,1,2.4e-136,459.3,7,343,0.98,Probable nitronate monooxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=yrpB PE=3 SV=1
15,B2TEK6,366,340,1.9e-135,456.3,1,1,2.2e-135,456.2,13,353,0.98,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
16,Q9HWH9,351,340,1.6e-133,450.0,1,1,1.8e-133,449.9,8,348,0.98,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
17,Q12723,374,340,2.1e-119,403.6,1,1,2.4e-119,403.4,10,373,0.95,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
18,P47177,404,340,1.1e-113,384.8,1,1,1.3e-113,384.6,29,398,0.95,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
19,O06179,375,340,1.5e-97,331.7,1,1,1.8e-97,331.5,8,361,0.96,Putative monooxygenase Rv1533 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1533 PE=1 SV=1
20,Q9I4V0,328,340,2.7e-43,153.3,1,2,5.7e-12,50.4,11,79,0.87,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
21,Q9I4V0,328,340,2.7e-43,153.3,2,2,1.4e-27,101.7,93,312,0.88,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
22,Q01284,378,340,4e-31,113.3,1,2,0.54,14.3,33,62,0.86,Nitronate monooxygenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ncd-2 PE=1 SV=1
23,Q01284,378,340,4e-31,113.3,2,2,2.5e-27,100.9,152,365,0.86,Nitronate monooxygenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ncd-2 PE=1 SV=1
24,Q8KCW4,494,340,5.8e-09,40.5,1,2,0.14,16.2,38,88,0.84,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
25,Q8KCW4,494,340,5.8e-09,40.5,2,2,0.0001,26.5,329,374,0.86,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
26,Q4VRV8,551,340,8.9e-09,39.9,1,2,0.27,15.3,47,98,0.82,Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1
27,Q4VRV8,551,340,8.9e-09,39.9,2,2,0.0028,21.8,338,382,0.83,Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1
28,Q9HQU4,499,340,1e-08,39.7,1,2,0.41,14.7,50,100,0.83,Inosine-5'-monophosphate dehydrogenase OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=guaB PE=3 SV=2
29,Q9HQU4,499,340,1e-08,39.7,2,2,0.00071,23.7,328,380,0.89,Inosine-5'-monophosphate dehydrogenase OS=Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) OX=64091 GN=guaB PE=3 SV=2
30,Q9HLK8,485,340,1.9e-08,38.8,1,2,0.55,14.2,42,86,0.87,Inosine-5'-monophosphate dehydrogenase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=guaB PE=3 SV=1
31,Q9HLK8,485,340,1.9e-08,38.8,2,2,0.00057,24.1,314,371,0.87,Inosine-5'-monophosphate dehydrogenase OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=guaB PE=3 SV=1
32,Q9KGN8,485,340,4.2e-08,37.6,1,2,8.7e-05,26.7,39,93,0.82,Inosine-5'-monophosphate dehydrogenase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=guaB PE=3 SV=1
33,Q9KGN8,485,340,4.2e-08,37.6,2,2,0.49,14.4,324,371,0.81,Inosine-5'-monophosphate dehydrogenase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=guaB PE=3 SV=1
34,Q9SA34,502,340,4.2e-08,37.6,1,2,6.7,10.7,51,83,0.84,Inosine-5'-monophosphate dehydrogenase 2 OS=Arabidopsis thaliana OX=3702 GN=At1g16350 PE=1 SV=1
35,Q9SA34,502,340,4.2e-08,37.6,2,2,0.00013,26.2,338,393,0.86,Inosine-5'-monophosphate dehydrogenase 2 OS=Arabidopsis thaliana OX=3702 GN=At1g16350 PE=1 SV=1
36,O50316,494,340,6.7e-08,37.0,1,2,0.69,13.9,38,73,0.83,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
37,O50316,494,340,6.7e-08,37.0,2,2,0.00093,23.4,329,374,0.82,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=guaB PE=3 SV=3
38,P42851,485,340,7.3e-08,36.8,1,2,0.11,16.6,45,92,0.89,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=guaB PE=3 SV=1
39,P42851,485,340,7.3e-08,36.8,2,2,0.013,19.5,312,368,0.89,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=guaB PE=3 SV=1
40,Q59011,496,340,8.1e-08,36.7,1,2,0.059,17.4,41,90,0.86,Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=guaB PE=3 SV=1
41,Q59011,496,340,8.1e-08,36.7,2,2,0.0034,21.5,286,371,0.72,Inosine-5'-monophosphate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=guaB PE=3 SV=1
42,B6YWA9,252,340,8.2e-08,36.7,1,2,0.017,19.2,59,160,0.72,Imidazole glycerol phosphate synthase subunit HisF OS=Thermococcus onnurineus (strain NA1) OX=523850 GN=hisF PE=3 SV=1
43,B6YWA9,252,340,8.2e-08,36.7,2,2,0.18,15.8,184,227,0.91,Imidazole glycerol phosphate synthase subunit HisF OS=Thermococcus onnurineus (strain NA1) OX=523850 GN=hisF PE=3 SV=1
44,A0B7W4,242,340,8.3e-08,36.7,1,2,6.1,10.8,68,107,0.93,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT) OX=349307 GN=hisA PE=3 SV=1
45,A0B7W4,242,340,8.3e-08,36.7,2,2,0.00026,25.2,186,225,0.94,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT) OX=349307 GN=hisA PE=3 SV=1
46,Q07152,537,340,8.6e-08,36.6,1,2,4.2,11.3,80,116,0.85,Inosine-5'-monophosphate dehydrogenase OS=Drosophila melanogaster OX=7227 GN=ras PE=1 SV=1
47,Q07152,537,340,8.6e-08,36.6,2,2,0.0011,23.2,369,417,0.84,Inosine-5'-monophosphate dehydrogenase OS=Drosophila melanogaster OX=7227 GN=ras PE=1 SV=1
48,Q9UY49,485,340,1.2e-07,36.2,1,2,0.076,17.1,45,93,0.89,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus abyssi (strain GE5 / Orsay) OX=272844 GN=guaB PE=3 SV=1
49,Q9UY49,485,340,1.2e-07,36.2,2,2,0.013,19.5,312,368,0.89,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus abyssi (strain GE5 / Orsay) OX=272844 GN=guaB PE=3 SV=1
50,A6UWA5,241,340,1.4e-07,35.9,1,2,12,9.9,66,111,0.89,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3) OX=419665 GN=hisA PE=3 SV=1
51,A6UWA5,241,340,1.4e-07,35.9,2,2,0.00051,24.2,184,223,0.94,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3) OX=419665 GN=hisA PE=3 SV=1
52,P56088,481,340,1.8e-07,35.6,1,2,0.35,14.9,38,108,0.85,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
53,P56088,481,340,1.8e-07,35.6,2,2,0.0002,25.5,311,365,0.89,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=guaB PE=3 SV=1
54,Q9ZL14,481,340,1.9e-07,35.5,1,2,0.22,15.6,37,108,0.85,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
55,Q9ZL14,481,340,1.9e-07,35.5,2,2,0.0002,25.5,311,365,0.89,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
56,A1R562,247,340,2.1e-07,35.3,1,2,0.033,18.3,70,117,0.92,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Paenarthrobacter aurescens (strain TC1) OX=290340 GN=hisA PE=1 SV=1
57,A1R562,247,340,2.1e-07,35.3,2,2,0.31,15.0,184,229,0.83,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Paenarthrobacter aurescens (strain TC1) OX=290340 GN=hisA PE=1 SV=1
58,F6S675,512,340,2.2e-07,35.3,1,2,2.5,12.1,59,100,0.81,Inosine-5'-monophosphate dehydrogenase 1 OS=Xenopus tropicalis OX=8364 GN=impdh1 PE=3 SV=1
59,F6S675,512,340,2.2e-07,35.3,2,2,0.0051,20.9,349,397,0.82,Inosine-5'-monophosphate dehydrogenase 1 OS=Xenopus tropicalis OX=8364 GN=impdh1 PE=3 SV=1
60,Q7NTY1,316,340,2.2e-07,35.3,1,1,3.4e-07,34.6,130,238,0.80,GMP reductase OS=Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757) OX=243365 GN=guaC PE=3 SV=1
61,P0ADG7,488,340,2.3e-07,35.2,1,2,1.6,12.7,37,89,0.86,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1
62,P0ADG7,488,340,2.3e-07,35.2,2,2,0.0018,22.4,320,371,0.85,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1
63,P0ADG8,488,340,2.3e-07,35.2,1,2,1.6,12.7,37,89,0.86,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli O157:H7 OX=83334 GN=guaB PE=3 SV=1
64,P0ADG8,488,340,2.3e-07,35.2,2,2,0.0018,22.4,320,371,0.85,Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli O157:H7 OX=83334 GN=guaB PE=3 SV=1
65,P0ADG9,488,340,2.3e-07,35.2,1,2,1.6,12.7,37,89,0.86,Inosine-5'-monophosphate dehydrogenase OS=Shigella flexneri OX=623 GN=guaB PE=3 SV=1
66,P0ADG9,488,340,2.3e-07,35.2,2,2,0.0018,22.4,320,371,0.85,Inosine-5'-monophosphate dehydrogenase OS=Shigella flexneri OX=623 GN=guaB PE=3 SV=1
67,P05325,242,340,2.4e-07,35.2,1,2,0.74,13.8,65,109,0.89,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanococcus voltae OX=2188 GN=hisA PE=3 SV=1
68,P05325,242,340,2.4e-07,35.2,2,2,0.0091,20.1,183,222,0.89,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Methanococcus voltae OX=2188 GN=hisA PE=3 SV=1
69,P0DB88,493,340,2.5e-07,35.1,1,2,0.00064,23.9,42,107,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=guaB PE=3 SV=1
70,P0DB88,493,340,2.5e-07,35.1,2,2,0.6,14.1,279,376,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX=198466 GN=guaB PE=3 SV=1
71,P0DB89,493,340,2.5e-07,35.1,1,2,0.00064,23.9,42,107,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=guaB PE=3 SV=1
72,P0DB89,493,340,2.5e-07,35.1,2,2,0.6,14.1,279,376,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=guaB PE=3 SV=1
73,Q3SWY3,514,340,2.7e-07,35.0,1,2,27,8.7,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus OX=9913 GN=IMPDH2 PE=2 SV=1
74,Q3SWY3,514,340,2.7e-07,35.0,2,2,0.00038,24.7,345,404,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Bos taurus OX=9913 GN=IMPDH2 PE=2 SV=1
75,Q5RGV1,514,340,2.7e-07,35.0,1,2,2.6,12.0,59,107,0.80,Inosine-5'-monophosphate dehydrogenase 1b OS=Danio rerio OX=7955 GN=impdh1b PE=2 SV=1
76,Q5RGV1,514,340,2.7e-07,35.0,2,2,0.006,20.7,351,399,0.82,Inosine-5'-monophosphate dehydrogenase 1b OS=Danio rerio OX=7955 GN=impdh1b PE=2 SV=1
77,Q6GMG5,544,340,2.8e-07,34.9,1,2,2.8,11.9,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 1a OS=Danio rerio OX=7955 GN=impdh1a PE=2 SV=1
78,Q6GMG5,544,340,2.8e-07,34.9,2,2,0.0061,20.7,351,398,0.83,Inosine-5'-monophosphate dehydrogenase 1a OS=Danio rerio OX=7955 GN=impdh1a PE=2 SV=1
79,P50096,514,340,2.9e-07,34.9,1,2,3.1,11.8,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus OX=10090 GN=Impdh1 PE=1 SV=2
80,P50096,514,340,2.9e-07,34.9,2,2,0.0056,20.8,351,398,0.82,Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus OX=10090 GN=Impdh1 PE=1 SV=2
81,D3ZLZ7,514,340,2.9e-07,34.9,1,2,3.1,11.8,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 1 OS=Rattus norvegicus OX=10116 GN=Impdh1 PE=3 SV=1
82,D3ZLZ7,514,340,2.9e-07,34.9,2,2,0.0056,20.8,351,398,0.82,Inosine-5'-monophosphate dehydrogenase 1 OS=Rattus norvegicus OX=10116 GN=Impdh1 PE=3 SV=1
83,A0JNA3,514,340,2.9e-07,34.9,1,2,3.2,11.7,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 1 OS=Bos taurus OX=9913 GN=IMPDH1 PE=2 SV=2
84,A0JNA3,514,340,2.9e-07,34.9,2,2,0.0056,20.8,351,398,0.82,Inosine-5'-monophosphate dehydrogenase 1 OS=Bos taurus OX=9913 GN=IMPDH1 PE=2 SV=2
85,P12268,514,340,2.9e-07,34.9,1,2,26,8.7,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2
86,P12268,514,340,2.9e-07,34.9,2,2,0.00047,24.3,348,404,0.83,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2
87,O58045,486,340,3e-07,34.8,1,2,0.27,15.2,45,92,0.87,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=guaB PE=1 SV=1
88,O58045,486,340,3e-07,34.8,2,2,0.019,19.0,312,368,0.87,Inosine-5'-monophosphate dehydrogenase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=guaB PE=1 SV=1
89,E9PU28,514,340,3.1e-07,34.8,1,2,27,8.7,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Rattus norvegicus OX=10116 GN=Impdh2 PE=1 SV=1
90,E9PU28,514,340,3.1e-07,34.8,2,2,0.00046,24.4,347,404,0.82,Inosine-5'-monophosphate dehydrogenase 2 OS=Rattus norvegicus OX=10116 GN=Impdh2 PE=1 SV=1
91,P24547,514,340,3.1e-07,34.8,1,2,27,8.7,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2
92,P24547,514,340,3.1e-07,34.8,2,2,0.00049,24.3,349,404,0.84,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2
93,P12269,514,340,3.1e-07,34.8,1,2,26,8.7,59,108,0.80,Inosine-5'-monophosphate dehydrogenase 2 OS=Cricetulus griseus OX=10029 GN=IMPDH2 PE=1 SV=1
94,P12269,514,340,3.1e-07,34.8,2,2,0.00049,24.3,349,404,0.84,Inosine-5'-monophosphate dehydrogenase 2 OS=Cricetulus griseus OX=10029 GN=IMPDH2 PE=1 SV=1
95,P0C0H6,493,340,3.3e-07,34.7,1,2,0.00066,23.8,42,107,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes OX=1314 GN=guaB PE=1 SV=2
96,P0C0H6,493,340,3.3e-07,34.7,2,2,0.6,14.1,279,376,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes OX=1314 GN=guaB PE=1 SV=2
97,P0C0H7,493,340,3.3e-07,34.7,1,2,0.00066,23.8,42,107,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=guaB PE=3 SV=2
98,P0C0H7,493,340,3.3e-07,34.7,2,2,0.6,14.1,279,376,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M1 OX=301447 GN=guaB PE=3 SV=2
99,P68839,493,340,3.3e-07,34.7,1,2,0.00066,23.8,42,107,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=guaB PE=3 SV=2
100,P68839,493,340,3.3e-07,34.7,2,2,0.6,14.1,279,376,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=guaB PE=3 SV=2
101,Q5X9A3,493,340,3.3e-07,34.7,1,2,0.00066,23.8,42,107,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=guaB PE=1 SV=3
102,Q5X9A3,493,340,3.3e-07,34.7,2,2,0.6,14.1,279,376,0.78,Inosine-5'-monophosphate dehydrogenase OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=guaB PE=1 SV=3
